   depth     nuclear energy deposition by components per projectile and depth interval
   Angs      eV/Angs
 0.1265E+04  0.0000E+00 0.0000E+00
 0.1275E+04  0.0000E+00 0.0000E+00
 0.1285E+04  0.0000E+00 0.0000E+00
 0.1295E+04  0.0000E+00 0.0000E+00
 0.1305E+04  0.0000E+00 0.0000E+00
 0.1315E+04  0.0000E+00 0.0000E+00
 0.1325E+04  0.0000E+00 0.0000E+00
 0.1335E+04  0.0000E+00 0.0000E+00
 0.1345E+04  0.0000E+00 0.0000E+00
 0.1355E+04  0.0000E+00 0.0000E+00
 0.1365E+04  0.0000E+00 0.0000E+00
 0.1375E+04  0.0000E+00 0.0000E+00
 0.1385E+04  0.0000E+00 0.0000E+00
 0.1395E+04  0.0000E+00 0.0000E+00
 0.1405E+04  0.0000E+00 0.0000E+00
 0.1415E+04  0.0000E+00 0.0000E+00
 0.1425E+04  0.0000E+00 0.0000E+00
 0.1435E+04  0.0000E+00 0.0000E+00
 0.1445E+04  0.0000E+00 0.0000E+00
 0.1455E+04  0.0000E+00 0.0000E+00
 0.1465E+04  0.0000E+00 0.0000E+00
 0.1475E+04  0.0000E+00 0.0000E+00
 0.1485E+04  0.0000E+00 0.0000E+00
 0.1495E+04  0.0000E+00 0.0000E+00
 0.1505E+04  0.0000E+00 0.0000E+00
 0.1515E+04  0.0000E+00 0.0000E+00
 0.1525E+04  0.0000E+00 0.0000E+00
 0.1535E+04  0.0000E+00 0.0000E+00
 0.1545E+04  0.0000E+00 0.0000E+00
 0.1555E+04  0.0000E+00 0.0000E+00
 0.1565E+04  0.0000E+00 0.0000E+00
 0.1575E+04  0.0000E+00 0.0000E+00
 0.1585E+04  0.0000E+00 0.0000E+00
 0.1595E+04  0.0000E+00 0.0000E+00
 0.1605E+04  0.0000E+00 0.0000E+00
 0.1615E+04  0.0000E+00 0.0000E+00
 0.1625E+04  0.0000E+00 0.0000E+00
 0.1635E+04  0.0000E+00 0.0000E+00
 0.1645E+04  0.0000E+00 0.0000E+00
 0.1655E+04  0.0000E+00 0.0000E+00
 0.1665E+04  0.0000E+00 0.0000E+00
 0.1675E+04  0.0000E+00 0.0000E+00
 0.1685E+04  0.0000E+00 0.0000E+00
 0.1695E+04  0.0000E+00 0.0000E+00
