 cpt#    psproj# nr.coll energy       directional cosines x,y,z                        emission site x,y,z
                         (eV)                                                          (Angs)
   1         121   19    0.1635E+02  -0.90294051E+00  0.41300929E+00  0.11883415E+00  -0.268903E+01 -0.107367E+02  0.947941E+01
   1         122   13    0.1253E+03  -0.74400222E+00 -0.26950294E+00 -0.61141533E+00  -0.206176E+01 -0.156679E+02  0.164422E+02
   1         126    2    0.1967E+03  -0.28601235E+00 -0.75333840E+00 -0.59218103E+00  -0.218000E+01 -0.691928E+01 -0.660800E+01
   1         127    7    0.2834E+03  -0.88621294E+00 -0.36492902E+00  0.28540057E+00  -0.981319E+00 -0.609560E+01  0.968051E+01
   1         132   10    0.1061E+03  -0.92319244E+00  0.17382802E+00 -0.34278187E+00  -0.244703E+01  0.895254E+01  0.139070E+02
   1         135    2    0.2309E+03  -0.57264537E+00 -0.12140494E+00 -0.81076378E+00  -0.203013E+01 -0.382595E+01 -0.528045E+01
   1         136   14    0.7417E+02  -0.81701630E+00  0.37506601E+00 -0.43796110E+00  -0.191329E+01  0.675107E+01  0.191302E+02
   1         137   13    0.1549E+03  -0.65644139E+00  0.17299706E+00  0.73427290E+00  -0.191269E+01  0.610687E+01 -0.997405E+01
   1         139   16    0.1784E+02  -0.85976881E+00  0.50615662E+00  0.67846335E-01  -0.126347E+01  0.638017E+01  0.489082E+01
   1         145    6    0.2385E+03  -0.69269586E+00  0.65914583E+00  0.29274410E+00  -0.130782E+01  0.180378E+01  0.928033E+01
   1         147    8    0.6479E+02  -0.84079337E+00 -0.38397858E+00 -0.38161093E+00  -0.247690E+01  0.894789E+00  0.536247E+01
   1         154   16    0.8972E+02  -0.95254886E+00  0.24799217E+00 -0.17649502E+00  -0.199854E+01  0.895578E+01  0.203539E+02
   1         155    3    0.1420E+03  -0.94165766E+00 -0.31475353E+00  0.11920983E+00  -0.233420E+01 -0.384531E+01 -0.223524E+01
   1         159    2    0.1996E+03  -0.45241624E+00 -0.25730532E+00 -0.85388148E+00  -0.233065E+01 -0.225006E+00 -0.623755E+01
   1         165   12    0.3819E+02  -0.44022077E+00  0.88140976E+00 -0.17123786E+00  -0.191211E+01  0.207763E+02  0.130232E+01
   1         166    6    0.3231E+03  -0.53686792E+00  0.61947948E+00  0.57272857E+00  -0.197514E+01  0.152513E+02  0.333579E+01
   1         167   13    0.4351E+02  -0.69755524E+00  0.41345641E+00 -0.58520961E+00  -0.276590E+01  0.896352E+01 -0.149985E+02
   1         168   17    0.1480E+02  -0.77404618E+00  0.42820305E+00  0.46636325E+00  -0.237381E+01  0.112979E+02  0.120050E+01
   1         169    8    0.2781E+03  -0.67358953E+00 -0.66549444E+00 -0.32154953E+00  -0.155646E+01 -0.141231E+02  0.328131E+01
   1         172    5    0.1512E+03  -0.72385931E+00 -0.65409052E+00  0.21952958E+00  -0.106802E+01 -0.377568E+01  0.423803E+01
   1         173    8    0.6621E+02  -0.98650718E+00 -0.16366513E+00 -0.41549136E-02  -0.857241E+00  0.106971E+02  0.296914E+01
   1         176    5    0.1114E+03  -0.88566762E+00  0.17687874E+00  0.42930949E+00  -0.173424E+01 -0.122856E+01 -0.324285E+01
   1         179   12    0.5285E+02  -0.69385880E+00  0.32133237E+00  0.64444190E+00  -0.230807E+01  0.977132E+01  0.661169E+01
   1         182   10    0.1422E+03  -0.75945807E+00  0.58577394E+00  0.28300560E+00  -0.191778E+01 -0.161322E+01 -0.155137E+02
   1         183    6    0.2411E+03  -0.67225635E+00  0.71004993E+00  0.20952411E+00  -0.155985E+01  0.111723E+02  0.566094E-01
   1         191    6    0.1435E+03  -0.68495774E+00 -0.59696323E+00  0.41769332E+00  -0.221947E+01 -0.109455E+02  0.522986E+01
   1         195    4    0.2235E+03  -0.65266228E+00 -0.58496594E-02 -0.75762630E+00  -0.153561E+01  0.123578E+01 -0.850278E+01
   1         197   12    0.1362E+03  -0.80484688E+00  0.59195006E+00 -0.42621367E-01  -0.263901E+01  0.173528E+02  0.100462E+02
   1         198    3    0.2512E+03  -0.76061589E+00 -0.42649940E+00 -0.48945034E+00  -0.176366E+01 -0.573491E+01 -0.878801E+00
   1         199    4    0.2037E+03  -0.94145805E+00  0.20147079E+00  0.27030748E+00  -0.261259E+01  0.904208E+01 -0.221056E+01
   1         211    4    0.1515E+03  -0.60861152E+00  0.10082400E+00  0.78703654E+00  -0.237836E+01 -0.448580E+01  0.531761E+01
