 SDTrimSP: VERSION 6.01    28.09.2022
H_Ar_on_Fe_W_60deg                                                              
           4    number species of recoils
 DEPTH DISTRIBUTIONS (RECOILS), COMPONENT(1): H    
           2         50000.     25.000        number of depth ,NH*NR, e_tot_p[MeV]
         [A]    [number]    [number]       [MeV]       [MeV]       [MeV]       [MeV]    [number]
DEPTH/LENGTH       STOPS  PATHLENGTH   NUCL.LOSS  ELECT.LOSS NUC.LOSS<ED NUC.LOSS>ED   VACANCIES   DISPLCNTR REPLACEMENT
  2.0500E+02  1.5000E+01  0.0000E+00  6.6025E-05  3.7268E-06  4.4523E-05  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.1500E+02  7.0000E+00  0.0000E+00  2.5513E-05  1.7428E-06  1.4433E-05  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.2500E+02  3.0000E+00  0.0000E+00  9.3084E-06  4.1620E-07  7.6816E-06  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.3500E+02  1.0000E+00  0.0000E+00  3.1492E-06  2.3344E-07  1.3891E-06  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.4500E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.5500E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.6500E+02  1.0000E+00  0.0000E+00  2.9739E-06  1.3537E-07  2.3196E-06  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.7500E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.8500E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  7.2380E+05  7.2380E+05  9.8299E+00  6.5156E-01  4.9151E+00  2.9455E+00  1.1023E+05  1.4066E+05  3.0430E+04
 DEPTH DISTRIBUTIONS (RECOILS), COMPONENT(4): W    
          23         50000.     25.000        number of depth ,NH*NR, e_tot_p[MeV]
         [A]    [number]    [number]       [MeV]       [MeV]       [MeV]       [MeV]    [number]
DEPTH/LENGTH       STOPS  PATHLENGTH   NUCL.LOSS  ELECT.LOSS NUC.LOSS<ED NUC.LOSS>ED   VACANCIES   DISPLCNTR REPLACEMENT
  5.0000E+00  4.4812E+05  6.5896E+05  6.3183E+00  3.3552E-01  3.1586E+00  1.6945E+00  3.4053E+04  4.1577E+04  7.5240E+03
  1.5000E+01  1.6439E+05  1.6070E+03  1.4176E+00  7.4620E-02  8.9669E-01  1.3643E-01  2.3900E+03  3.3350E+03  9.4500E+02
  2.5000E+01  2.0922E+04  1.0000E+00  1.2184E-01  6.0478E-03  8.2642E-02  3.6716E-03  7.1000E+01  9.7000E+01  2.6000E+01
  3.5000E+01  7.5940E+03  0.0000E+00  3.3346E-02  1.5599E-03  2.2912E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.5000E+01  5.4660E+03  0.0000E+00  2.3388E-02  1.0800E-03  1.6209E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  5.5000E+01  4.1260E+03  0.0000E+00  1.7243E-02  8.0618E-04  1.1929E-02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  6.5000E+01  3.1430E+03  0.0000E+00  1.2950E-02  5.9490E-04  9.0373E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  7.5000E+01  2.2260E+03  0.0000E+00  8.9868E-03  4.1392E-04  6.2589E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  8.5000E+01  1.5890E+03  0.0000E+00  6.3389E-03  2.8944E-04  4.4187E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  9.5000E+01  1.1020E+03  0.0000E+00  4.3472E-03  1.9645E-04  3.0402E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.0500E+02  7.2900E+02  0.0000E+00  2.8244E-03  1.2964E-04  1.9452E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.1500E+02  4.9100E+02  0.0000E+00  1.9167E-03  8.9188E-05  1.3127E-03  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.2500E+02  2.5900E+02  0.0000E+00  9.6284E-04  4.3727E-05  6.6609E-04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.3500E+02  1.8600E+02  0.0000E+00  6.9224E-04  3.2226E-05  4.8054E-04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.4500E+02  1.2200E+02  0.0000E+00  4.4115E-04  2.1581E-05  3.0046E-04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.5500E+02  5.5000E+01  0.0000E+00  1.9485E-04  8.6344E-06  1.3327E-04  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.6500E+02  3.8000E+01  0.0000E+00  1.2671E-04  5.7962E-06  8.6606E-05  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.7500E+02  1.0000E+01  0.0000E+00  3.4944E-05  1.5286E-06  2.3868E-05  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.8500E+02  2.0000E+00  0.0000E+00  7.3691E-06  4.2951E-07  4.6743E-06  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.9500E+02  3.0000E+00  0.0000E+00  9.9703E-06  3.9003E-07  6.9911E-06  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.0500E+02  1.0000E+00  0.0000E+00  3.5873E-06  1.5299E-07  2.8989E-06  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.1500E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.2500E+02  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  0.0000E+00  6.6057E+05  6.6057E+05  7.9716E+00  4.2146E-01  4.2167E+00  1.8346E+00  3.6514E+04  4.5009E+04  8.4950E+03
