  0.906709E+00 F
   0.4097E+00   0.4103E+00
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  depth        at.density   interstit.  vacancies    atomic fractions of components
  Angs         Angs^-3      dpa         dpa
  0.50000E+01  0.59915E-01  0.31602E+01 0.34900E+01  0.00430 0.09435 0.36295 0.53841
  0.15000E+02  0.63749E-01  0.20613E+01 0.20642E+01  0.00612 0.06466 0.43589 0.49332
  0.25000E+02  0.68095E-01  0.58819E+00 0.46672E+00  0.00848 0.03025 0.48063 0.48063
  0.35000E+02  0.71526E-01  0.89558E-01 0.79552E-01  0.01272 0.00209 0.49307 0.49212
  0.45000E+02  0.71676E-01  0.49859E-01 0.49295E-01  0.01524 0.00002 0.49258 0.49216
  0.55000E+02  0.71662E-01  0.38295E-01 0.37542E-01  0.01562 0.00000 0.49250 0.49188
  0.65000E+02  0.71612E-01  0.31147E-01 0.31079E-01  0.01657 0.00000 0.49187 0.49156
  0.75000E+02  0.71623E-01  0.23871E-01 0.23196E-01  0.01639 0.00000 0.49204 0.49157
  0.85000E+02  0.71647E-01  0.18499E-01 0.18407E-01  0.01580 0.00000 0.49209 0.49211
  0.95000E+02  0.71675E-01  0.12484E-01 0.12935E-01  0.01518 0.00000 0.49230 0.49253
  0.10500E+03  0.71735E-01  0.94654E-02 0.90875E-02  0.01403 0.00000 0.49304 0.49293
  0.11500E+03  0.71841E-01  0.63546E-02 0.61364E-02  0.01195 0.00000 0.49418 0.49388
  0.12500E+03  0.71892E-01  0.45364E-02 0.44815E-02  0.01084 0.00000 0.49458 0.49458
  0.13500E+03  0.71996E-01  0.28264E-02 0.28253E-02  0.00877 0.00000 0.49565 0.49557
  0.14500E+03  0.72035E-01  0.17100E-02 0.15514E-02  0.00800 0.00000 0.49604 0.49596
  0.15500E+03  0.72125E-01  0.10733E-02 0.93479E-03  0.00618 0.00000 0.49695 0.49687
  0.16500E+03  0.72153E-01  0.68170E-03 0.75108E-03  0.00560 0.00000 0.49719 0.49721
  0.17500E+03  0.72248E-01  0.42957E-03 0.40960E-03  0.00371 0.00000 0.49816 0.49813
  0.18500E+03  0.72272E-01  0.10725E-03 0.54266E-04  0.00325 0.00000 0.49839 0.49836
  0.19500E+03  0.72321E-01  0.57307E-04 0.78231E-04  0.00226 0.00000 0.49886 0.49888
  0.20500E+03  0.72362E-01  0.29884E-04 0.32196E-04  0.00145 0.00000 0.49928 0.49928
  0.21500E+03  0.72377E-01  0.27579E-04 0.27579E-04  0.00115 0.00000 0.49942 0.49942
  0.22500E+03  0.72407E-01  0.24326E-05 0.24326E-05  0.00055 0.00000 0.49972 0.49972
  0.23500E+03  0.72415E-01  0.00000E+00 0.00000E+00  0.00040 0.00000 0.49980 0.49980
