  0.101060E+01 F
   0.2163E+00   0.2137E+00
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  depth        at.density   interstit.  vacancies    atomic fractions of components
  Angs         Angs^-3      dpa         dpa
  0.50000E+01  0.64558E-01  0.20124E+01 0.22409E+01  0.00243 0.05574 0.42378 0.51805
  0.15000E+02  0.65598E-01  0.19503E+01 0.19762E+01  0.00288 0.04987 0.45004 0.49721
  0.25000E+02  0.70832E-01  0.24117E+00 0.18641E+00  0.00459 0.01057 0.49504 0.48980
  0.35000E+02  0.72025E-01  0.41132E-01 0.37853E-01  0.00700 0.00044 0.49637 0.49619
  0.45000E+02  0.72027E-01  0.25171E-01 0.24743E-01  0.00813 0.00003 0.49609 0.49575
  0.55000E+02  0.71994E-01  0.19504E-01 0.19316E-01  0.00881 0.00000 0.49564 0.49555
  0.65000E+02  0.71995E-01  0.17189E-01 0.17105E-01  0.00883 0.00000 0.49571 0.49546
  0.75000E+02  0.72026E-01  0.12156E-01 0.11827E-01  0.00821 0.00000 0.49602 0.49577
  0.85000E+02  0.72031E-01  0.89169E-02 0.89426E-02  0.00805 0.00000 0.49596 0.49599
  0.95000E+02  0.72020E-01  0.62654E-02 0.62928E-02  0.00827 0.00000 0.49584 0.49589
  0.10500E+03  0.72066E-01  0.43920E-02 0.43929E-02  0.00735 0.00000 0.49632 0.49633
  0.11500E+03  0.72120E-01  0.32080E-02 0.31032E-02  0.00630 0.00000 0.49691 0.49678
  0.12500E+03  0.72115E-01  0.24040E-02 0.22942E-02  0.00636 0.00000 0.49681 0.49683
  0.13500E+03  0.72206E-01  0.12349E-02 0.12789E-02  0.00456 0.00000 0.49771 0.49774
  0.14500E+03  0.72251E-01  0.72238E-03 0.62459E-03  0.00366 0.00000 0.49820 0.49813
  0.15500E+03  0.72282E-01  0.56157E-03 0.50209E-03  0.00305 0.00000 0.49850 0.49845
  0.16500E+03  0.72292E-01  0.37443E-03 0.39490E-03  0.00282 0.00000 0.49858 0.49860
  0.17500E+03  0.72343E-01  0.25798E-03 0.23540E-03  0.00183 0.00000 0.49909 0.49907
  0.18500E+03  0.72350E-01  0.48145E-04 0.45572E-04  0.00169 0.00000 0.49916 0.49916
  0.19500E+03  0.72375E-01  0.27578E-04 0.27578E-04  0.00118 0.00000 0.49941 0.49941
  0.20500E+03  0.72394E-01  0.27054E-05 0.27054E-05  0.00081 0.00000 0.49960 0.49960
  0.21500E+03  0.72412E-01  0.24856E-04 0.24856E-04  0.00045 0.00000 0.49978 0.49978
  0.22500E+03  0.72424E-01  0.27631E-05 0.27631E-05  0.00022 0.00000 0.49989 0.49989
  0.23500E+03  0.72426E-01  0.00000E+00 0.00000E+00  0.00017 0.00000 0.49992 0.49992
