  0.400846E+00 F
   0.5966E-01   0.6034E-01
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  depth        at.density   interstit.  vacancies    atomic fractions of components
  Angs         Angs^-3      dpa         dpa
  0.50000E+01  0.69234E-01  0.10766E+01 0.12667E+01  0.00044 0.02047 0.46628 0.51281
  0.15000E+02  0.70535E-01  0.44524E+00 0.37632E+00  0.00099 0.01378 0.49292 0.49231
  0.25000E+02  0.72145E-01  0.52286E-01 0.40740E-01  0.00128 0.00178 0.49943 0.49751
  0.35000E+02  0.72342E-01  0.10975E-01 0.10041E-01  0.00157 0.00011 0.49926 0.49906
  0.45000E+02  0.72337E-01  0.64185E-02 0.61430E-02  0.00204 0.00000 0.49920 0.49876
  0.55000E+02  0.72304E-01  0.53446E-02 0.54820E-02  0.00253 0.00000 0.49858 0.49888
  0.65000E+02  0.72309E-01  0.43833E-02 0.42470E-02  0.00253 0.00000 0.49883 0.49864
  0.75000E+02  0.72328E-01  0.29886E-02 0.29054E-02  0.00213 0.00000 0.49897 0.49891
  0.85000E+02  0.72341E-01  0.24599E-02 0.25132E-02  0.00185 0.00000 0.49905 0.49910
  0.95000E+02  0.72324E-01  0.15576E-02 0.16128E-02  0.00220 0.00000 0.49889 0.49891
  0.10500E+03  0.72328E-01  0.12730E-02 0.13011E-02  0.00212 0.00000 0.49892 0.49895
  0.11500E+03  0.72344E-01  0.72956E-03 0.70329E-03  0.00180 0.00000 0.49911 0.49909
  0.12500E+03  0.72342E-01  0.74335E-03 0.63532E-03  0.00184 0.00000 0.49910 0.49905
  0.13500E+03  0.72362E-01  0.34317E-03 0.33989E-03  0.00145 0.00000 0.49928 0.49928
  0.14500E+03  0.72385E-01  0.25093E-03 0.27762E-03  0.00098 0.00000 0.49950 0.49952
  0.15500E+03  0.72395E-01  0.24829E-03 0.19591E-03  0.00081 0.00000 0.49962 0.49957
  0.16500E+03  0.72387E-01  0.88596E-04 0.11326E-03  0.00093 0.00000 0.49952 0.49955
  0.17500E+03  0.72406E-01  0.10936E-03 0.83800E-04  0.00057 0.00000 0.49973 0.49970
  0.18500E+03  0.72410E-01  0.41715E-05 0.31286E-05  0.00050 0.00000 0.49975 0.49975
  0.19500E+03  0.72416E-01  0.26535E-04 0.26535E-04  0.00036 0.00000 0.49982 0.49982
  0.20500E+03  0.72422E-01  0.10831E-05 0.10831E-05  0.00025 0.00000 0.49987 0.49987
  0.21500E+03  0.72433E-01  0.26515E-04 0.26515E-04  0.00004 0.00000 0.49998 0.49998
  0.22500E+03  0.72431E-01  0.10965E-05 0.10965E-05  0.00008 0.00000 0.49996 0.49996
  0.23500E+03  0.72431E-01  0.00000E+00 0.00000E+00  0.00008 0.00000 0.49996 0.49996
