  0.108709E+01 F
   0.2665E+00   0.2635E+00
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  depth        at.density   interstit.  vacancies    atomic fractions of components
  Angs         Angs^-3      dpa         dpa
  0.50000E+01  0.63289E-01  0.28552E+01 0.32041E+01  0.00289 0.06505 0.40391 0.52816
  0.15000E+02  0.64517E-01  0.21062E+01 0.20658E+01  0.00384 0.05926 0.44524 0.49166
  0.25000E+02  0.70223E-01  0.31872E+00 0.24829E+00  0.00552 0.01489 0.49254 0.48705
  0.35000E+02  0.71884E-01  0.53974E-01 0.49467E-01  0.00855 0.00090 0.49532 0.49523
  0.45000E+02  0.71946E-01  0.31995E-01 0.31486E-01  0.00978 0.00003 0.49532 0.49487
  0.55000E+02  0.71906E-01  0.24456E-01 0.24110E-01  0.01060 0.00000 0.49476 0.49464
  0.65000E+02  0.71877E-01  0.20870E-01 0.20700E-01  0.01122 0.00000 0.49456 0.49421
  0.75000E+02  0.71911E-01  0.14930E-01 0.14552E-01  0.01051 0.00000 0.49488 0.49461
  0.85000E+02  0.71919E-01  0.11368E-01 0.11368E-01  0.01030 0.00000 0.49485 0.49485
  0.95000E+02  0.71922E-01  0.77610E-02 0.79238E-02  0.01022 0.00000 0.49482 0.49496
  0.10500E+03  0.71995E-01  0.57967E-02 0.57474E-02  0.00877 0.00000 0.49561 0.49562
  0.11500E+03  0.72052E-01  0.39372E-02 0.38035E-02  0.00769 0.00000 0.49626 0.49605
  0.12500E+03  0.72067E-01  0.30080E-02 0.28709E-02  0.00734 0.00000 0.49633 0.49634
  0.13500E+03  0.72148E-01  0.15535E-02 0.15702E-02  0.00571 0.00000 0.49714 0.49714
  0.14500E+03  0.72202E-01  0.94798E-03 0.87376E-03  0.00464 0.00000 0.49772 0.49764
  0.15500E+03  0.72243E-01  0.63009E-03 0.54758E-03  0.00383 0.00000 0.49811 0.49805
  0.16500E+03  0.72251E-01  0.40479E-03 0.42248E-03  0.00364 0.00000 0.49817 0.49819
  0.17500E+03  0.72317E-01  0.31087E-03 0.28857E-03  0.00234 0.00000 0.49884 0.49882
  0.18500E+03  0.72330E-01  0.54869E-04 0.52137E-04  0.00208 0.00000 0.49896 0.49896
  0.19500E+03  0.72357E-01  0.27568E-04 0.27568E-04  0.00155 0.00000 0.49923 0.49923
  0.20500E+03  0.72385E-01  0.28993E-05 0.28993E-05  0.00100 0.00000 0.49950 0.49950
  0.21500E+03  0.72406E-01  0.24650E-04 0.24650E-04  0.00057 0.00000 0.49972 0.49972
  0.22500E+03  0.72423E-01  0.29710E-05 0.29710E-05  0.00023 0.00000 0.49989 0.49989
  0.23500E+03  0.72425E-01  0.00000E+00 0.00000E+00  0.00019 0.00000 0.49990 0.49990
