  0.770039E+00 F
   0.1309E+00   0.1291E+00
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  depth        at.density   interstit.  vacancies    atomic fractions of components
  Angs         Angs^-3      dpa         dpa
  0.50000E+01  0.66956E-01  0.20250E+01 0.23564E+01  0.00145 0.03566 0.43810 0.52479
  0.15000E+02  0.68032E-01  0.10124E+01 0.87463E+00  0.00238 0.03267 0.48036 0.48459
  0.25000E+02  0.71638E-01  0.13297E+00 0.10247E+00  0.00271 0.00514 0.49812 0.49403
  0.35000E+02  0.72214E-01  0.23828E-01 0.21612E-01  0.00378 0.00024 0.49811 0.49786
  0.45000E+02  0.72186E-01  0.15428E-01 0.15047E-01  0.00506 0.00000 0.49770 0.49724
  0.55000E+02  0.72161E-01  0.11673E-01 0.11755E-01  0.00538 0.00000 0.49716 0.49746
  0.65000E+02  0.72145E-01  0.10184E-01 0.10184E-01  0.00579 0.00000 0.49715 0.49706
  0.75000E+02  0.72190E-01  0.73626E-02 0.71722E-02  0.00493 0.00000 0.49766 0.49741
  0.85000E+02  0.72212E-01  0.55048E-02 0.54743E-02  0.00443 0.00000 0.49780 0.49777
  0.95000E+02  0.72178E-01  0.37011E-02 0.37271E-02  0.00509 0.00000 0.49743 0.49748
  0.10500E+03  0.72202E-01  0.26210E-02 0.27281E-02  0.00461 0.00000 0.49766 0.49774
  0.11500E+03  0.72244E-01  0.16638E-02 0.15895E-02  0.00380 0.00000 0.49812 0.49807
  0.12500E+03  0.72252E-01  0.14138E-02 0.13051E-02  0.00364 0.00000 0.49821 0.49815
  0.13500E+03  0.72293E-01  0.67590E-03 0.72184E-03  0.00280 0.00000 0.49857 0.49862
  0.14500E+03  0.72323E-01  0.47822E-03 0.40383E-03  0.00224 0.00000 0.49891 0.49886
  0.15500E+03  0.72335E-01  0.39103E-03 0.33416E-03  0.00200 0.00000 0.49903 0.49897
  0.16500E+03  0.72338E-01  0.20587E-03 0.22788E-03  0.00191 0.00000 0.49904 0.49906
  0.17500E+03  0.72379E-01  0.14178E-03 0.11807E-03  0.00111 0.00000 0.49946 0.49943
  0.18500E+03  0.72376E-01  0.99559E-05 0.79647E-05  0.00118 0.00000 0.49941 0.49941
  0.19500E+03  0.72397E-01  0.25545E-04 0.25545E-04  0.00075 0.00000 0.49962 0.49962
  0.20500E+03  0.72409E-01  0.20806E-05 0.20806E-05  0.00051 0.00000 0.49974 0.49974
  0.21500E+03  0.72425E-01  0.25502E-04 0.25502E-04  0.00019 0.00000 0.49990 0.49990
  0.22500E+03  0.72429E-01  0.21130E-05 0.21130E-05  0.00011 0.00000 0.49994 0.49994
  0.23500E+03  0.72429E-01  0.00000E+00 0.00000E+00  0.00011 0.00000 0.49994 0.49994
