 cpt#    psproj# nr.coll energy       directional cosines x,y,z                        emission site x,y,z
                         (eV)                                                          (Angs)
   1          93   16    0.4277E+03  -0.67454261E+00  0.73752141E+00  0.32471791E-01  -0.129047E+01 -0.215040E+02  0.263486E+01
   1          94    8    0.4599E+03  -0.27068940E+00 -0.32244003E+00  0.90706092E+00  -0.231149E+01 -0.134067E+02  0.227510E+02
   1          96  175    0.2150E+02  -0.70249426E+00 -0.48304570E+00  0.52265525E+00  -0.236844E+01 -0.689360E+02  0.689948E+02
   2          97    3    0.3165E+03  -0.57212436E+00 -0.53963006E+00  0.61763513E+00  -0.227345E+01 -0.129724E+02  0.642974E+01
   1          98   21    0.4019E+03  -0.52339971E+00 -0.26459056E+00 -0.80996579E+00  -0.232291E+01 -0.465702E+02 -0.217677E+02
   1         103   50    0.2956E+03  -0.75902832E+00  0.22772465E-01 -0.65065908E+00  -0.264967E+01 -0.195348E+02 -0.542292E+02
   1         104   26    0.4040E+03  -0.46092770E+00 -0.24522993E+00  0.85288215E+00  -0.214882E+01 -0.506075E+02  0.242823E+02
   2         105    3    0.4294E+03  -0.47075760E+00 -0.83682662E+00  0.27947870E+00  -0.191822E+01 -0.112100E+02  0.245551E+01
   2         107    2    0.4542E+02  -0.76199031E+00  0.22518915E+00  0.60717416E+00  -0.270634E+01 -0.767590E+01  0.352023E+01
   1         109    2    0.4888E+03  -0.40414071E+00 -0.61920488E+00 -0.67324263E+00  -0.180778E+01 -0.788496E+01 -0.326297E+01
   2         110    6    0.2609E+03  -0.82085514E+00 -0.18052569E+00  0.54185539E+00  -0.144644E+01 -0.150326E+02  0.184908E+01
   1         112  119    0.9623E+02  -0.69710630E+00 -0.53465599E+00  0.47768790E+00  -0.204353E+01 -0.801247E+02  0.425045E+01
   1         113   10    0.4597E+03  -0.51890409E+00 -0.77468413E+00 -0.36139020E+00  -0.168007E+01 -0.284047E+02 -0.758069E+01
   2         117    2    0.2252E+03  -0.37251484E+00 -0.84766424E+00 -0.37775406E+00  -0.239892E+01 -0.170037E+02 -0.454606E+01
   2         118    2    0.3873E+03  -0.57197481E+00 -0.70092815E+00 -0.42608023E+00  -0.264450E+01 -0.122409E+02 -0.329827E+01
   2         119    2    0.1317E+03  -0.53253114E+00  0.84640062E+00 -0.40468429E-02  -0.247832E+01 -0.370909E+00 -0.184747E+01
   2         120    5    0.2059E+03  -0.25797263E+00 -0.18513617E+00  0.94824815E+00  -0.210950E+01 -0.132037E+02  0.111313E+02
   2         122    1    0.2806E+03  -0.31416857E+00 -0.86482376E+00 -0.39163491E+00  -0.260451E+01 -0.138656E+02 -0.370680E+01
   1         123   23    0.4219E+03  -0.60586900E+00 -0.68929553E+00  0.39723343E+00  -0.211763E+01 -0.553786E+02  0.117773E+02
   1         124   13    0.4398E+03  -0.89455491E+00 -0.56925256E-01  0.44331783E+00  -0.131137E+01 -0.286303E+02  0.345951E+01
   1         125   55    0.3003E+03  -0.77656758E+00 -0.59882209E-01  0.62718177E+00  -0.942896E+00 -0.148974E+02  0.987653E+02
   1         126  113    0.1178E+03  -0.90665817E+00 -0.10497505E+00 -0.40859646E+00  -0.172095E+01  0.897285E+02  0.709242E+02
   1         127   94    0.1626E+03  -0.99295497E+00 -0.50467230E-01  0.10720728E+00  -0.246597E+01 -0.245952E+02  0.783464E+02
   2         128    1    0.3814E+03  -0.54850036E+00 -0.81244165E+00 -0.19770150E+00  -0.191073E+01 -0.101488E+02 -0.983735E+00
   1         129   59    0.2276E+03  -0.59688687E+00  0.70915622E+00 -0.37526447E+00  -0.142538E+01 -0.190438E+02  0.431951E+02
   2         130   12    0.8979E+01  -0.69016141E+00  0.65044296E+00 -0.31717667E+00  -0.255890E+01  0.258897E+01 -0.157619E+02
   1         131  157    0.4200E+02  -0.99610049E+00  0.83571173E-01  0.28277725E-01  -0.174032E+01 -0.318756E+02 -0.154652E+03
   2         133    1    0.2126E+03  -0.85270590E+00 -0.49230993E+00 -0.17470987E+00  -0.229433E+01 -0.543867E+01 -0.419117E+00
   1         134   14    0.4331E+03  -0.53094202E+00 -0.83996445E+00 -0.11207104E+00  -0.221987E+01 -0.395377E+02 -0.184386E+01
   2         135    3    0.4134E+03  -0.43508184E+00 -0.86133814E+00  0.26229838E+00  -0.216626E+01 -0.180659E+02  0.231463E+01
   1         137   20    0.4060E+03  -0.87270242E+00  0.17391445E+00 -0.45622823E+00  -0.104420E+01 -0.286807E+02 -0.170762E+02
   2         141    2    0.2247E+03  -0.65532064E+00 -0.16430415E+00 -0.73726451E+00  -0.229715E+01 -0.579126E+01 -0.390924E+01
   1         142    4    0.4747E+03  -0.49726233E+00 -0.85462797E+00  0.14946997E+00  -0.196351E+01 -0.182004E+02  0.131606E+01
   2         144    6    0.1361E+03  -0.62504572E+00 -0.27888250E+00  0.72906947E+00  -0.223585E+01 -0.177809E+02  0.259309E+01
   2         146    1    0.4590E+03  -0.14251366E+00 -0.98175472E+00  0.12588640E+00  -0.238355E+01 -0.179069E+02  0.180420E+01
   2         147    2    0.3965E+03  -0.38116559E+00 -0.90591514E+00  0.18447348E+00  -0.179472E+01 -0.129465E+02  0.172262E+01
   2         148    2    0.3664E+03  -0.73959202E+00 -0.66303754E+00  0.11569311E+00  -0.232977E+01 -0.998841E+01  0.183175E+00
