  0.537405E+00 F
   0.8018E-01   0.7982E-01
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  depth        at.density   interstit.  vacancies    atomic fractions of components
  Angs         Angs^-3      dpa         dpa
  0.50000E+01  0.68421E-01  0.13857E+01 0.16291E+01  0.00069 0.02596 0.45733 0.51603
  0.15000E+02  0.69808E-01  0.60337E+00 0.51213E+00  0.00171 0.01903 0.48941 0.48985
  0.25000E+02  0.72051E-01  0.72599E-01 0.56597E-01  0.00176 0.00236 0.49932 0.49656
  0.35000E+02  0.72303E-01  0.14612E-01 0.13434E-01  0.00220 0.00016 0.49888 0.49875
  0.45000E+02  0.72291E-01  0.93308E-02 0.90831E-02  0.00292 0.00000 0.49871 0.49838
  0.55000E+02  0.72266E-01  0.73488E-02 0.73762E-02  0.00330 0.00000 0.49824 0.49846
  0.65000E+02  0.72244E-01  0.61135E-02 0.60590E-02  0.00382 0.00000 0.49817 0.49801
  0.75000E+02  0.72288E-01  0.44802E-02 0.43708E-02  0.00293 0.00000 0.49858 0.49849
  0.85000E+02  0.72303E-01  0.34876E-02 0.35127E-02  0.00262 0.00000 0.49868 0.49870
  0.95000E+02  0.72277E-01  0.22032E-02 0.22307E-02  0.00313 0.00000 0.49844 0.49844
  0.10500E+03  0.72296E-01  0.14792E-02 0.15335E-02  0.00274 0.00000 0.49860 0.49866
  0.11500E+03  0.72321E-01  0.10600E-02 0.10085E-02  0.00227 0.00000 0.49889 0.49884
  0.12500E+03  0.72323E-01  0.91404E-03 0.80583E-03  0.00223 0.00000 0.49891 0.49886
  0.13500E+03  0.72338E-01  0.43314E-03 0.45521E-03  0.00191 0.00000 0.49903 0.49905
  0.14500E+03  0.72365E-01  0.33444E-03 0.33562E-03  0.00137 0.00000 0.49931 0.49931
  0.15500E+03  0.72379E-01  0.27829E-03 0.22563E-03  0.00111 0.00000 0.49947 0.49942
  0.16500E+03  0.72372E-01  0.14441E-03 0.16807E-03  0.00123 0.00000 0.49937 0.49939
  0.17500E+03  0.72394E-01  0.11171E-03 0.86846E-04  0.00082 0.00000 0.49960 0.49958
  0.18500E+03  0.72397E-01  0.55998E-05 0.41999E-05  0.00075 0.00000 0.49963 0.49963
  0.19500E+03  0.72413E-01  0.26164E-04 0.26164E-04  0.00043 0.00000 0.49978 0.49978
  0.20500E+03  0.72419E-01  0.14548E-05 0.14548E-05  0.00031 0.00000 0.49985 0.49985
  0.21500E+03  0.72430E-01  0.26139E-04 0.26139E-04  0.00009 0.00000 0.49995 0.49995
  0.22500E+03  0.72431E-01  0.14735E-05 0.14735E-05  0.00008 0.00000 0.49996 0.49996
  0.23500E+03  0.72431E-01  0.00000E+00 0.00000E+00  0.00008 0.00000 0.49996 0.49996
