  0.106838E+01 F
   0.3306E+00   0.3293E+00
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  depth        at.density   interstit.  vacancies    atomic fractions of components
  Angs         Angs^-3      dpa         dpa
  0.50000E+01  0.61680E-01  0.27500E+01 0.30384E+01  0.00358 0.07940 0.38972 0.52730
  0.15000E+02  0.63938E-01  0.22759E+01 0.23150E+01  0.00465 0.06294 0.43418 0.49823
  0.25000E+02  0.69305E-01  0.43375E+00 0.34004E+00  0.00691 0.02144 0.48799 0.48366
  0.35000E+02  0.71738E-01  0.68137E-01 0.61780E-01  0.01044 0.00129 0.49420 0.49406
  0.45000E+02  0.71813E-01  0.39777E-01 0.39214E-01  0.01247 0.00002 0.49398 0.49352
  0.55000E+02  0.71791E-01  0.30418E-01 0.29959E-01  0.01294 0.00000 0.49367 0.49339
  0.65000E+02  0.71739E-01  0.25278E-01 0.25109E-01  0.01401 0.00000 0.49316 0.49283
  0.75000E+02  0.71783E-01  0.18828E-01 0.18231E-01  0.01314 0.00000 0.49364 0.49322
  0.85000E+02  0.71795E-01  0.14674E-01 0.14733E-01  0.01278 0.00000 0.49357 0.49365
  0.95000E+02  0.71810E-01  0.99811E-02 0.10281E-01  0.01246 0.00000 0.49367 0.49386
  0.10500E+03  0.71889E-01  0.76463E-02 0.73734E-02  0.01092 0.00000 0.49458 0.49450
  0.11500E+03  0.71956E-01  0.50530E-02 0.48064E-02  0.00962 0.00000 0.49532 0.49505
  0.12500E+03  0.71988E-01  0.36091E-02 0.36003E-02  0.00892 0.00000 0.49553 0.49555
  0.13500E+03  0.72072E-01  0.20280E-02 0.20541E-02  0.00724 0.00000 0.49640 0.49635
  0.14500E+03  0.72129E-01  0.12540E-02 0.10757E-02  0.00611 0.00000 0.49700 0.49689
  0.15500E+03  0.72188E-01  0.80151E-03 0.71103E-03  0.00492 0.00000 0.49755 0.49752
  0.16500E+03  0.72210E-01  0.54249E-03 0.61148E-03  0.00446 0.00000 0.49776 0.49778
  0.17500E+03  0.72283E-01  0.39763E-03 0.37991E-03  0.00303 0.00000 0.49850 0.49847
  0.18500E+03  0.72300E-01  0.11113E-03 0.58651E-04  0.00269 0.00000 0.49867 0.49864
  0.19500E+03  0.72342E-01  0.57840E-04 0.77248E-04  0.00183 0.00000 0.49907 0.49910
  0.20500E+03  0.72375E-01  0.30380E-04 0.33182E-04  0.00119 0.00000 0.49940 0.49941
  0.21500E+03  0.72393E-01  0.27588E-04 0.27588E-04  0.00083 0.00000 0.49958 0.49958
  0.22500E+03  0.72414E-01  0.28951E-05 0.28951E-05  0.00041 0.00000 0.49980 0.49980
  0.23500E+03  0.72422E-01  0.00000E+00 0.00000E+00  0.00026 0.00000 0.49987 0.49987
