  0.238974E+00 F
   0.2962E-01   0.3038E-01
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  depth        at.density   interstit.  vacancies    atomic fractions of components
  Angs         Angs^-3      dpa         dpa
  0.50000E+01  0.70597E-01  0.56076E+00 0.65965E+00  0.00022 0.01165 0.48171 0.50643
  0.15000E+02  0.71540E-01  0.21536E+00 0.18001E+00  0.00069 0.00640 0.49717 0.49574
  0.25000E+02  0.72294E-01  0.23929E-01 0.18228E-01  0.00079 0.00079 0.49963 0.49878
  0.35000E+02  0.72394E-01  0.50569E-02 0.45024E-02  0.00088 0.00000 0.49975 0.49937
  0.45000E+02  0.72385E-01  0.28468E-02 0.28453E-02  0.00102 0.00000 0.49957 0.49941
  0.55000E+02  0.72370E-01  0.25382E-02 0.24833E-02  0.00127 0.00000 0.49931 0.49942
  0.65000E+02  0.72368E-01  0.19342E-02 0.19613E-02  0.00132 0.00000 0.49935 0.49933
  0.75000E+02  0.72380E-01  0.17667E-02 0.17943E-02  0.00108 0.00000 0.49942 0.49950
  0.85000E+02  0.72392E-01  0.12196E-02 0.11926E-02  0.00086 0.00000 0.49958 0.49956
  0.95000E+02  0.72380E-01  0.91386E-03 0.94078E-03  0.00107 0.00000 0.49945 0.49948
  0.10500E+03  0.72388E-01  0.55663E-03 0.50261E-03  0.00094 0.00000 0.49956 0.49950
  0.11500E+03  0.72380E-01  0.30725E-03 0.33355E-03  0.00107 0.00000 0.49945 0.49948
  0.12500E+03  0.72379E-01  0.35760E-03 0.35807E-03  0.00110 0.00000 0.49945 0.49945
  0.13500E+03  0.72397E-01  0.19630E-03 0.19630E-03  0.00075 0.00000 0.49962 0.49962
  0.14500E+03  0.72416E-01  0.11209E-03 0.11209E-03  0.00037 0.00000 0.49982 0.49982
  0.15500E+03  0.72424E-01  0.11042E-03 0.83393E-04  0.00022 0.00000 0.49990 0.49987
  0.16500E+03  0.72415E-01  0.29375E-04 0.55794E-04  0.00038 0.00000 0.49980 0.49982
  0.17500E+03  0.72420E-01  0.54595E-04 0.28211E-04  0.00031 0.00000 0.49986 0.49983
  0.18500E+03  0.72421E-01  0.12472E-05 0.62358E-06  0.00028 0.00000 0.49986 0.49986
  0.19500E+03  0.72421E-01  0.00000E+00 0.00000E+00  0.00028 0.00000 0.49986 0.49986
  0.20500E+03  0.72429E-01  0.00000E+00 0.00000E+00  0.00011 0.00000 0.49994 0.49994
  0.21500E+03  0.72435E-01  0.00000E+00 0.00000E+00  0.00000 0.00000 0.50000 0.50000
  0.22500E+03  0.72433E-01  0.00000E+00 0.00000E+00  0.00003 0.00000 0.49999 0.49999
  0.23500E+03  0.72431E-01  0.00000E+00 0.00000E+00  0.00008 0.00000 0.49996 0.49996
