  0.833970E+00 F
   0.1509E+00   0.1491E+00
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  depth        at.density   interstit.  vacancies    atomic fractions of components
  Angs         Angs^-3      dpa         dpa
  0.50000E+01  0.66344E-01  0.22269E+01 0.25727E+01  0.00169 0.04030 0.43243 0.52559
  0.15000E+02  0.67414E-01  0.11754E+01 0.10242E+01  0.00253 0.03741 0.47586 0.48420
  0.25000E+02  0.71488E-01  0.15647E+00 0.12056E+00  0.00296 0.00617 0.49758 0.49329
  0.35000E+02  0.72165E-01  0.27748E-01 0.25388E-01  0.00466 0.00027 0.49761 0.49746
  0.45000E+02  0.72150E-01  0.17821E-01 0.17416E-01  0.00577 0.00000 0.49735 0.49687
  0.55000E+02  0.72113E-01  0.13354E-01 0.13381E-01  0.00637 0.00000 0.49671 0.49693
  0.65000E+02  0.72104E-01  0.11903E-01 0.11848E-01  0.00661 0.00000 0.49676 0.49663
  0.75000E+02  0.72156E-01  0.82580E-02 0.80122E-02  0.00561 0.00000 0.49733 0.49706
  0.85000E+02  0.72171E-01  0.63213E-02 0.63173E-02  0.00525 0.00000 0.49736 0.49739
  0.95000E+02  0.72142E-01  0.42524E-02 0.43595E-02  0.00581 0.00000 0.49706 0.49714
  0.10500E+03  0.72162E-01  0.29296E-02 0.29599E-02  0.00542 0.00000 0.49727 0.49730
  0.11500E+03  0.72220E-01  0.20456E-02 0.19680E-02  0.00429 0.00000 0.49790 0.49782
  0.12500E+03  0.72229E-01  0.16160E-02 0.15075E-02  0.00410 0.00000 0.49796 0.49793
  0.13500E+03  0.72270E-01  0.79289E-03 0.81237E-03  0.00327 0.00000 0.49835 0.49838
  0.14500E+03  0.72303E-01  0.51149E-03 0.43592E-03  0.00263 0.00000 0.49871 0.49866
  0.15500E+03  0.72320E-01  0.44451E-03 0.38753E-03  0.00228 0.00000 0.49889 0.49883
  0.16500E+03  0.72328E-01  0.31304E-03 0.33462E-03  0.00211 0.00000 0.49894 0.49896
  0.17500E+03  0.72372E-01  0.17589E-03 0.15249E-03  0.00125 0.00000 0.49938 0.49936
  0.18500E+03  0.72370E-01  0.38308E-04 0.36161E-04  0.00129 0.00000 0.49936 0.49936
  0.19500E+03  0.72389E-01  0.27586E-04 0.27586E-04  0.00092 0.00000 0.49954 0.49954
  0.20500E+03  0.72404E-01  0.22486E-05 0.22486E-05  0.00060 0.00000 0.49970 0.49970
  0.21500E+03  0.72423E-01  0.25329E-04 0.25329E-04  0.00023 0.00000 0.49989 0.49989
  0.22500E+03  0.72429E-01  0.22867E-05 0.22867E-05  0.00012 0.00000 0.49994 0.49994
  0.23500E+03  0.72429E-01  0.00000E+00 0.00000E+00  0.00011 0.00000 0.49994 0.49994
