  0.977707E+00 F
   0.3947E+00   0.3952E+00
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  depth        at.density   interstit.  vacancies    atomic fractions of components
  Angs         Angs^-3      dpa         dpa
  0.50000E+01  0.60003E-01  0.27967E+01 0.30652E+01  0.00428 0.09426 0.36850 0.53295
  0.15000E+02  0.63794E-01  0.21271E+01 0.21652E+01  0.00578 0.06392 0.43356 0.49673
  0.25000E+02  0.68383E-01  0.56034E+00 0.44352E+00  0.00807 0.02818 0.48265 0.48109
  0.35000E+02  0.71562E-01  0.84592E-01 0.75369E-01  0.01239 0.00192 0.49320 0.49249
  0.45000E+02  0.71697E-01  0.48522E-01 0.47915E-01  0.01482 0.00002 0.49281 0.49235
  0.55000E+02  0.71686E-01  0.36919E-01 0.36123E-01  0.01514 0.00000 0.49275 0.49211
  0.65000E+02  0.71630E-01  0.30023E-01 0.29954E-01  0.01621 0.00000 0.49203 0.49176
  0.75000E+02  0.71649E-01  0.22912E-01 0.22326E-01  0.01585 0.00000 0.49228 0.49187
  0.85000E+02  0.71681E-01  0.17930E-01 0.17806E-01  0.01512 0.00000 0.49247 0.49241
  0.95000E+02  0.71698E-01  0.12124E-01 0.12613E-01  0.01471 0.00000 0.49249 0.49280
  0.10500E+03  0.71769E-01  0.91816E-02 0.88288E-02  0.01336 0.00000 0.49339 0.49325
  0.11500E+03  0.71859E-01  0.61662E-02 0.59752E-02  0.01157 0.00000 0.49435 0.49408
  0.12500E+03  0.71909E-01  0.43658E-02 0.42825E-02  0.01050 0.00000 0.49475 0.49475
  0.13500E+03  0.72012E-01  0.27059E-02 0.26769E-02  0.00847 0.00000 0.49582 0.49571
  0.14500E+03  0.72058E-01  0.16104E-02 0.14521E-02  0.00752 0.00000 0.49628 0.49620
  0.15500E+03  0.72144E-01  0.99517E-03 0.88224E-03  0.00581 0.00000 0.49712 0.49707
  0.16500E+03  0.72163E-01  0.62808E-03 0.69760E-03  0.00540 0.00000 0.49729 0.49731
  0.17500E+03  0.72253E-01  0.42728E-03 0.40813E-03  0.00361 0.00000 0.49821 0.49818
  0.18500E+03  0.72272E-01  0.10966E-03 0.56878E-04  0.00324 0.00000 0.49839 0.49837
  0.19500E+03  0.72324E-01  0.57511E-04 0.77836E-04  0.00219 0.00000 0.49889 0.49892
  0.20500E+03  0.72362E-01  0.30081E-04 0.32591E-04  0.00144 0.00000 0.49928 0.49928
  0.21500E+03  0.72377E-01  0.27579E-04 0.27579E-04  0.00115 0.00000 0.49942 0.49942
  0.22500E+03  0.72407E-01  0.26296E-05 0.26296E-05  0.00056 0.00000 0.49972 0.49972
  0.23500E+03  0.72415E-01  0.00000E+00 0.00000E+00  0.00040 0.00000 0.49980 0.49980
