  0.110171E+01 F
   0.2760E+00   0.2740E+00
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  depth        at.density   interstit.  vacancies    atomic fractions of components
  Angs         Angs^-3      dpa         dpa
  0.50000E+01  0.63019E-01  0.30073E+01 0.33693E+01  0.00304 0.06722 0.40048 0.52925
  0.15000E+02  0.64312E-01  0.21469E+01 0.20982E+01  0.00399 0.06113 0.44457 0.49031
  0.25000E+02  0.70092E-01  0.33840E+00 0.26291E+00  0.00583 0.01576 0.49180 0.48661
  0.35000E+02  0.71867E-01  0.56177E-01 0.51324E-01  0.00883 0.00094 0.49529 0.49493
  0.45000E+02  0.71925E-01  0.32792E-01 0.32257E-01  0.01021 0.00003 0.49509 0.49467
  0.55000E+02  0.71893E-01  0.25643E-01 0.25273E-01  0.01085 0.00000 0.49466 0.49449
  0.65000E+02  0.71857E-01  0.21721E-01 0.21575E-01  0.01162 0.00000 0.49436 0.49401
  0.75000E+02  0.71894E-01  0.16052E-01 0.15621E-01  0.01086 0.00000 0.49472 0.49442
  0.85000E+02  0.71911E-01  0.11913E-01 0.11940E-01  0.01046 0.00000 0.49475 0.49478
  0.95000E+02  0.71906E-01  0.81315E-02 0.82948E-02  0.01055 0.00000 0.49466 0.49480
  0.10500E+03  0.71981E-01  0.60396E-02 0.59363E-02  0.00906 0.00000 0.49548 0.49546
  0.11500E+03  0.72035E-01  0.40740E-02 0.40171E-02  0.00801 0.00000 0.49607 0.49592
  0.12500E+03  0.72051E-01  0.31687E-02 0.29840E-02  0.00766 0.00000 0.49619 0.49615
  0.13500E+03  0.72132E-01  0.15627E-02 0.15759E-02  0.00604 0.00000 0.49698 0.49698
  0.14500E+03  0.72191E-01  0.94774E-03 0.87353E-03  0.00487 0.00000 0.49760 0.49753
  0.15500E+03  0.72234E-01  0.70573E-03 0.59802E-03  0.00400 0.00000 0.49803 0.49797
  0.16500E+03  0.72251E-01  0.43736E-03 0.47756E-03  0.00366 0.00000 0.49816 0.49818
  0.17500E+03  0.72311E-01  0.31352E-03 0.29390E-03  0.00247 0.00000 0.49878 0.49876
  0.18500E+03  0.72322E-01  0.55096E-04 0.52342E-04  0.00224 0.00000 0.49888 0.49888
  0.19500E+03  0.72353E-01  0.27566E-04 0.27566E-04  0.00162 0.00000 0.49919 0.49919
  0.20500E+03  0.72384E-01  0.29330E-05 0.29330E-05  0.00100 0.00000 0.49950 0.49950
  0.21500E+03  0.72406E-01  0.24616E-04 0.24616E-04  0.00057 0.00000 0.49972 0.49972
  0.22500E+03  0.72421E-01  0.30050E-05 0.30050E-05  0.00028 0.00000 0.49986 0.49986
  0.23500E+03  0.72425E-01  0.00000E+00 0.00000E+00  0.00020 0.00000 0.49990 0.49990
