  0.849689E+00 F
   0.4596E+00   0.4603E+00
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  depth        at.density   interstit.  vacancies    atomic fractions of components
  Angs         Angs^-3      dpa         dpa
  0.50000E+01  0.58889E-01  0.44024E+01 0.48575E+01  0.00499 0.10337 0.34664 0.54501
  0.15000E+02  0.63784E-01  0.17565E+01 0.17099E+01  0.00722 0.06454 0.43936 0.48888
  0.25000E+02  0.67172E-01  0.70238E+00 0.56477E+00  0.00955 0.03725 0.47486 0.47835
  0.35000E+02  0.71378E-01  0.10487E+00 0.92162E-01  0.01400 0.00272 0.49210 0.49118
  0.45000E+02  0.71589E-01  0.56175E-01 0.55516E-01  0.01691 0.00006 0.49180 0.49123
  0.55000E+02  0.71555E-01  0.42953E-01 0.42035E-01  0.01783 0.00000 0.49148 0.49070
  0.65000E+02  0.71505E-01  0.34630E-01 0.34616E-01  0.01872 0.00000 0.49072 0.49056
  0.75000E+02  0.71530E-01  0.27108E-01 0.26388E-01  0.01832 0.00000 0.49117 0.49051
  0.85000E+02  0.71556E-01  0.21119E-01 0.21079E-01  0.01764 0.00000 0.49116 0.49121
  0.95000E+02  0.71569E-01  0.14295E-01 0.14605E-01  0.01732 0.00000 0.49120 0.49148
  0.10500E+03  0.71643E-01  0.10616E-01 0.10316E-01  0.01588 0.00000 0.49208 0.49204
  0.11500E+03  0.71768E-01  0.76187E-02 0.72946E-02  0.01343 0.00000 0.49347 0.49310
  0.12500E+03  0.71836E-01  0.53197E-02 0.51833E-02  0.01198 0.00000 0.49401 0.49401
  0.13500E+03  0.71964E-01  0.33495E-02 0.34030E-02  0.00942 0.00000 0.49533 0.49525
  0.14500E+03  0.71986E-01  0.19208E-02 0.17348E-02  0.00898 0.00000 0.49556 0.49545
  0.15500E+03  0.72082E-01  0.12587E-02 0.10931E-02  0.00704 0.00000 0.49652 0.49644
  0.16500E+03  0.72130E-01  0.79179E-03 0.83569E-03  0.00606 0.00000 0.49696 0.49698
  0.17500E+03  0.72225E-01  0.45977E-03 0.43724E-03  0.00419 0.00000 0.49792 0.49789
  0.18500E+03  0.72253E-01  0.18357E-03 0.13040E-03  0.00361 0.00000 0.49821 0.49818
  0.19500E+03  0.72315E-01  0.88693E-04 0.11018E-03  0.00238 0.00000 0.49880 0.49882
  0.20500E+03  0.72354E-01  0.31823E-04 0.33952E-04  0.00160 0.00000 0.49920 0.49920
  0.21500E+03  0.72368E-01  0.27575E-04 0.27575E-04  0.00132 0.00000 0.49934 0.49934
  0.22500E+03  0.72401E-01  0.22634E-05 0.22634E-05  0.00066 0.00000 0.49967 0.49967
  0.23500E+03  0.72413E-01  0.00000E+00 0.00000E+00  0.00043 0.00000 0.49978 0.49978
