  0.815543E+00 F
   0.1459E+00   0.1441E+00
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  depth        at.density   interstit.  vacancies    atomic fractions of components
  Angs         Angs^-3      dpa         dpa
  0.50000E+01  0.66500E-01  0.21796E+01 0.25232E+01  0.00163 0.03899 0.43322 0.52616
  0.15000E+02  0.67584E-01  0.11332E+01 0.98554E+00  0.00250 0.03614 0.47743 0.48392
  0.25000E+02  0.71519E-01  0.15141E+00 0.11644E+00  0.00295 0.00594 0.49763 0.49348
  0.35000E+02  0.72186E-01  0.26915E-01 0.24682E-01  0.00428 0.00024 0.49774 0.49773
  0.45000E+02  0.72158E-01  0.17418E-01 0.16957E-01  0.00563 0.00000 0.49745 0.49691
  0.55000E+02  0.72130E-01  0.12948E-01 0.12921E-01  0.00604 0.00000 0.49688 0.49708
  0.65000E+02  0.72113E-01  0.11632E-01 0.11632E-01  0.00642 0.00000 0.49683 0.49675
  0.75000E+02  0.72164E-01  0.80143E-02 0.77962E-02  0.00544 0.00000 0.49742 0.49714
  0.85000E+02  0.72176E-01  0.62376E-02 0.62339E-02  0.00514 0.00000 0.49742 0.49744
  0.95000E+02  0.72153E-01  0.40909E-02 0.41712E-02  0.00559 0.00000 0.49718 0.49723
  0.10500E+03  0.72174E-01  0.27919E-02 0.28743E-02  0.00518 0.00000 0.49737 0.49745
  0.11500E+03  0.72225E-01  0.19341E-02 0.18587E-02  0.00420 0.00000 0.49794 0.49786
  0.12500E+03  0.72237E-01  0.15842E-02 0.14495E-02  0.00394 0.00000 0.49806 0.49800
  0.13500E+03  0.72273E-01  0.71263E-03 0.75664E-03  0.00321 0.00000 0.49837 0.49842
  0.14500E+03  0.72306E-01  0.50605E-03 0.43207E-03  0.00257 0.00000 0.49874 0.49869
  0.15500E+03  0.72326E-01  0.41878E-03 0.36184E-03  0.00217 0.00000 0.49894 0.49889
  0.16500E+03  0.72331E-01  0.28530E-03 0.30701E-03  0.00205 0.00000 0.49897 0.49899
  0.17500E+03  0.72372E-01  0.14810E-03 0.12461E-03  0.00125 0.00000 0.49939 0.49936
  0.18500E+03  0.72371E-01  0.35989E-04 0.33886E-04  0.00126 0.00000 0.49937 0.49937
  0.19500E+03  0.72391E-01  0.27587E-04 0.27587E-04  0.00086 0.00000 0.49957 0.49957
  0.20500E+03  0.72406E-01  0.22018E-05 0.22018E-05  0.00057 0.00000 0.49971 0.49971
  0.21500E+03  0.72424E-01  0.25377E-04 0.25377E-04  0.00022 0.00000 0.49989 0.49989
  0.22500E+03  0.72429E-01  0.22384E-05 0.22384E-05  0.00012 0.00000 0.49994 0.49994
  0.23500E+03  0.72429E-01  0.00000E+00 0.00000E+00  0.00011 0.00000 0.49994 0.49994
