  0.882911E+00 F
   0.4503E+00   0.4496E+00
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  depth        at.density   interstit.  vacancies    atomic fractions of components
  Angs         Angs^-3      dpa         dpa
  0.50000E+01  0.59017E-01  0.41967E+01 0.46158E+01  0.00476 0.10247 0.34994 0.54284
  0.15000E+02  0.63813E-01  0.17809E+01 0.17523E+01  0.00701 0.06406 0.43779 0.49114
  0.25000E+02  0.67334E-01  0.67708E+00 0.54243E+00  0.00937 0.03604 0.47610 0.47850
  0.35000E+02  0.71398E-01  0.10250E+00 0.90224E-01  0.01375 0.00266 0.49224 0.49136
  0.45000E+02  0.71604E-01  0.54986E-01 0.54316E-01  0.01661 0.00006 0.49194 0.49139
  0.55000E+02  0.71574E-01  0.42241E-01 0.41343E-01  0.01743 0.00000 0.49166 0.49091
  0.65000E+02  0.71522E-01  0.34050E-01 0.34086E-01  0.01837 0.00000 0.49091 0.49072
  0.75000E+02  0.71555E-01  0.26610E-01 0.25853E-01  0.01779 0.00000 0.49140 0.49081
  0.85000E+02  0.71573E-01  0.20688E-01 0.20603E-01  0.01729 0.00000 0.49132 0.49139
  0.95000E+02  0.71587E-01  0.13857E-01 0.14244E-01  0.01697 0.00000 0.49140 0.49163
  0.10500E+03  0.71655E-01  0.10500E-01 0.10122E-01  0.01565 0.00000 0.49222 0.49213
  0.11500E+03  0.71779E-01  0.74706E-02 0.71724E-02  0.01320 0.00000 0.49356 0.49324
  0.12500E+03  0.71850E-01  0.51845E-02 0.50481E-02  0.01171 0.00000 0.49416 0.49413
  0.13500E+03  0.71968E-01  0.31692E-02 0.32758E-02  0.00933 0.00000 0.49536 0.49531
  0.14500E+03  0.71999E-01  0.19230E-02 0.17398E-02  0.00872 0.00000 0.49569 0.49559
  0.15500E+03  0.72092E-01  0.12093E-02 0.10436E-02  0.00686 0.00000 0.49661 0.49653
  0.16500E+03  0.72133E-01  0.79077E-03 0.83378E-03  0.00600 0.00000 0.49699 0.49701
  0.17500E+03  0.72231E-01  0.46114E-03 0.43893E-03  0.00406 0.00000 0.49798 0.49796
  0.18500E+03  0.72260E-01  0.18462E-03 0.13155E-03  0.00347 0.00000 0.49828 0.49825
  0.19500E+03  0.72315E-01  0.88985E-04 0.11018E-03  0.00238 0.00000 0.49880 0.49882
  0.20500E+03  0.72358E-01  0.32019E-04 0.34243E-04  0.00153 0.00000 0.49923 0.49924
  0.21500E+03  0.72370E-01  0.27576E-04 0.27576E-04  0.00128 0.00000 0.49936 0.49936
  0.22500E+03  0.72401E-01  0.23550E-05 0.23550E-05  0.00066 0.00000 0.49967 0.49967
  0.23500E+03  0.72413E-01  0.00000E+00 0.00000E+00  0.00043 0.00000 0.49978 0.49978
