  0.102230E+01 F
   0.2311E+00   0.2289E+00
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  depth        at.density   interstit.  vacancies    atomic fractions of components
  Angs         Angs^-3      dpa         dpa
  0.50000E+01  0.64104E-01  0.22998E+01 0.25773E+01  0.00251 0.05911 0.41708 0.52130
  0.15000E+02  0.65254E-01  0.19970E+01 0.19996E+01  0.00316 0.05279 0.44829 0.49576
  0.25000E+02  0.70679E-01  0.26419E+00 0.20485E+00  0.00492 0.01159 0.49426 0.48922
  0.35000E+02  0.71974E-01  0.45073E-01 0.41264E-01  0.00757 0.00061 0.49607 0.49574
  0.45000E+02  0.72002E-01  0.26895E-01 0.26451E-01  0.00865 0.00003 0.49584 0.49548
  0.55000E+02  0.71972E-01  0.20878E-01 0.20845E-01  0.00923 0.00000 0.49535 0.49542
  0.65000E+02  0.71956E-01  0.18610E-01 0.18416E-01  0.00964 0.00000 0.49534 0.49502
  0.75000E+02  0.71993E-01  0.13104E-01 0.12721E-01  0.00886 0.00000 0.49569 0.49544
  0.85000E+02  0.71989E-01  0.98516E-02 0.98789E-02  0.00889 0.00000 0.49555 0.49555
  0.95000E+02  0.72000E-01  0.67260E-02 0.68073E-02  0.00865 0.00000 0.49563 0.49571
  0.10500E+03  0.72050E-01  0.49038E-02 0.48796E-02  0.00767 0.00000 0.49618 0.49615
  0.11500E+03  0.72092E-01  0.34092E-02 0.32505E-02  0.00686 0.00000 0.49665 0.49649
  0.12500E+03  0.72102E-01  0.25423E-02 0.24296E-02  0.00662 0.00000 0.49668 0.49670
  0.13500E+03  0.72193E-01  0.12424E-02 0.12865E-02  0.00480 0.00000 0.49759 0.49761
  0.14500E+03  0.72238E-01  0.72192E-03 0.62406E-03  0.00394 0.00000 0.49807 0.49799
  0.15500E+03  0.72275E-01  0.56147E-03 0.50201E-03  0.00320 0.00000 0.49843 0.49837
  0.16500E+03  0.72282E-01  0.39955E-03 0.42000E-03  0.00304 0.00000 0.49847 0.49849
  0.17500E+03  0.72337E-01  0.31062E-03 0.28806E-03  0.00195 0.00000 0.49903 0.49901
  0.18500E+03  0.72346E-01  0.53477E-04 0.50886E-04  0.00177 0.00000 0.49912 0.49911
  0.19500E+03  0.72371E-01  0.27576E-04 0.27576E-04  0.00127 0.00000 0.49937 0.49937
  0.20500E+03  0.72390E-01  0.27322E-05 0.27322E-05  0.00089 0.00000 0.49955 0.49955
  0.21500E+03  0.72410E-01  0.24825E-04 0.24825E-04  0.00048 0.00000 0.49976 0.49976
  0.22500E+03  0.72424E-01  0.27952E-05 0.27952E-05  0.00022 0.00000 0.49989 0.49989
  0.23500E+03  0.72426E-01  0.00000E+00 0.00000E+00  0.00017 0.00000 0.49992 0.49992
