  0.941639E+00 F
   0.1860E+00   0.1840E+00
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  depth        at.density   interstit.  vacancies    atomic fractions of components
  Angs         Angs^-3      dpa         dpa
  0.50000E+01  0.65456E-01  0.14026E+01 0.15227E+01  0.00231 0.04935 0.43765 0.51068
  0.15000E+02  0.66268E-01  0.18575E+01 0.19298E+01  0.00263 0.04388 0.45155 0.50194
  0.25000E+02  0.71176E-01  0.19750E+00 0.15203E+00  0.00380 0.00831 0.49683 0.49107
  0.35000E+02  0.72102E-01  0.34182E-01 0.31506E-01  0.00577 0.00032 0.49698 0.49693
  0.45000E+02  0.72080E-01  0.21452E-01 0.20921E-01  0.00709 0.00003 0.49667 0.49622
  0.55000E+02  0.72046E-01  0.16362E-01 0.16414E-01  0.00773 0.00000 0.49606 0.49622
  0.65000E+02  0.72049E-01  0.14899E-01 0.14762E-01  0.00775 0.00000 0.49625 0.49600
  0.75000E+02  0.72090E-01  0.10225E-01 0.99231E-02  0.00694 0.00000 0.49667 0.49640
  0.85000E+02  0.72112E-01  0.77653E-02 0.77618E-02  0.00643 0.00000 0.49678 0.49680
  0.95000E+02  0.72077E-01  0.52120E-02 0.52924E-02  0.00711 0.00000 0.49642 0.49647
  0.10500E+03  0.72107E-01  0.37007E-02 0.37035E-02  0.00652 0.00000 0.49672 0.49675
  0.11500E+03  0.72159E-01  0.26822E-02 0.25774E-02  0.00551 0.00000 0.49730 0.49719
  0.12500E+03  0.72167E-01  0.21435E-02 0.20855E-02  0.00534 0.00000 0.49734 0.49733
  0.13500E+03  0.72232E-01  0.10623E-02 0.10588E-02  0.00402 0.00000 0.49798 0.49800
  0.14500E+03  0.72271E-01  0.60714E-03 0.50486E-03  0.00327 0.00000 0.49840 0.49833
  0.15500E+03  0.72298E-01  0.52735E-03 0.46808E-03  0.00274 0.00000 0.49866 0.49860
  0.16500E+03  0.72313E-01  0.37148E-03 0.39233E-03  0.00242 0.00000 0.49878 0.49880
  0.17500E+03  0.72357E-01  0.23226E-03 0.20938E-03  0.00154 0.00000 0.49924 0.49922
  0.18500E+03  0.72361E-01  0.44488E-04 0.42071E-04  0.00146 0.00000 0.49927 0.49927
  0.19500E+03  0.72385E-01  0.27584E-04 0.27584E-04  0.00099 0.00000 0.49951 0.49951
  0.20500E+03  0.72400E-01  0.25300E-05 0.25300E-05  0.00069 0.00000 0.49966 0.49966
  0.21500E+03  0.72418E-01  0.25040E-04 0.25040E-04  0.00034 0.00000 0.49983 0.49983
  0.22500E+03  0.72426E-01  0.25771E-05 0.25771E-05  0.00018 0.00000 0.49991 0.49991
  0.23500E+03  0.72428E-01  0.00000E+00 0.00000E+00  0.00014 0.00000 0.49993 0.49993
