   fluence           surface atomic fractions of components
   (Angs^-2) 
   0.67000E+00       0.35927E-02  0.80242E-01  0.38760E+00  0.52857E+00
   0.68000E+00       0.36313E-02  0.81248E-01  0.38583E+00  0.52929E+00
   0.69000E+00       0.36885E-02  0.82922E-01  0.38310E+00  0.53029E+00
   0.70000E+00       0.36694E-02  0.84016E-01  0.38151E+00  0.53080E+00
   0.71000E+00       0.37272E-02  0.84482E-01  0.38008E+00  0.53171E+00
   0.72000E+00       0.38175E-02  0.85216E-01  0.37811E+00  0.53286E+00
   0.73000E+00       0.38411E-02  0.85634E-01  0.37671E+00  0.53381E+00
   0.74000E+00       0.39045E-02  0.87107E-01  0.37371E+00  0.53528E+00
   0.75000E+00       0.40364E-02  0.93562E-01  0.37660E+00  0.52580E+00
   0.76000E+00       0.40585E-02  0.94454E-01  0.37536E+00  0.52613E+00
   0.77000E+00       0.41190E-02  0.94198E-01  0.37280E+00  0.52889E+00
   0.78000E+00       0.41842E-02  0.94507E-01  0.37024E+00  0.53107E+00
   0.79000E+00       0.42844E-02  0.94262E-01  0.36850E+00  0.53295E+00
   0.80000E+00       0.42694E-02  0.94413E-01  0.36631E+00  0.53501E+00
   0.81000E+00       0.43542E-02  0.94339E-01  0.36438E+00  0.53692E+00
   0.82000E+00       0.42976E-02  0.94347E-01  0.36295E+00  0.53841E+00
   0.83000E+00       0.43551E-02  0.94819E-01  0.36132E+00  0.53951E+00
   0.84000E+00       0.43892E-02  0.94998E-01  0.35913E+00  0.54148E+00
   0.85000E+00       0.45089E-02  0.95863E-01  0.35664E+00  0.54299E+00
   0.86000E+00       0.44386E-02  0.96128E-01  0.35505E+00  0.54438E+00
   0.87000E+00       0.46149E-02  0.97139E-01  0.35310E+00  0.54515E+00
   0.88000E+00       0.46628E-02  0.10143E+00  0.35379E+00  0.54012E+00
   0.89000E+00       0.47085E-02  0.10185E+00  0.35195E+00  0.54149E+00
   0.90000E+00       0.47551E-02  0.10247E+00  0.34994E+00  0.54284E+00
   0.91000E+00       0.48800E-02  0.10264E+00  0.34866E+00  0.54381E+00
   0.92000E+00       0.49857E-02  0.10337E+00  0.34664E+00  0.54501E+00
   0.93000E+00       0.50378E-02  0.10344E+00  0.34505E+00  0.54648E+00
   0.94000E+00       0.51213E-02  0.10392E+00  0.34289E+00  0.54808E+00
   0.95000E+00       0.52106E-02  0.10404E+00  0.34122E+00  0.54953E+00
   0.96000E+00       0.52181E-02  0.10460E+00  0.33892E+00  0.55126E+00
   0.97000E+00       0.51951E-02  0.10467E+00  0.33805E+00  0.55208E+00
   0.98000E+00       0.52314E-02  0.10411E+00  0.33648E+00  0.55417E+00
   0.99000E+00       0.53646E-02  0.10436E+00  0.33465E+00  0.55562E+00
   0.10000E+01       0.54181E-02  0.10439E+00  0.33294E+00  0.55725E+00
