  0.880627E+00 F
   0.1705E+00   0.1695E+00
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  depth        at.density   interstit.  vacancies    atomic fractions of components
  Angs         Angs^-3      dpa         dpa
  0.50000E+01  0.65963E-01  0.10822E+01 0.11440E+01  0.00232 0.04583 0.44549 0.50636
  0.15000E+02  0.66602E-01  0.18096E+01 0.19061E+01  0.00247 0.04092 0.45211 0.50450
  0.25000E+02  0.71335E-01  0.17821E+00 0.13685E+00  0.00354 0.00716 0.49718 0.49212
  0.35000E+02  0.72133E-01  0.31096E-01 0.28699E-01  0.00525 0.00029 0.49732 0.49714
  0.45000E+02  0.72109E-01  0.19824E-01 0.19343E-01  0.00659 0.00000 0.49696 0.49645
  0.55000E+02  0.72083E-01  0.15225E-01 0.15277E-01  0.00697 0.00000 0.49641 0.49662
  0.65000E+02  0.72076E-01  0.13457E-01 0.13265E-01  0.00721 0.00000 0.49652 0.49627
  0.75000E+02  0.72125E-01  0.91945E-02 0.88929E-02  0.00623 0.00000 0.49704 0.49674
  0.85000E+02  0.72135E-01  0.72158E-02 0.72664E-02  0.00596 0.00000 0.49698 0.49706
  0.95000E+02  0.72096E-01  0.48256E-02 0.49073E-02  0.00673 0.00000 0.49661 0.49666
  0.10500E+03  0.72133E-01  0.34495E-02 0.34788E-02  0.00601 0.00000 0.49698 0.49701
  0.11500E+03  0.72186E-01  0.24083E-02 0.23044E-02  0.00496 0.00000 0.49757 0.49747
  0.12500E+03  0.72186E-01  0.18681E-02 0.17843E-02  0.00494 0.00000 0.49753 0.49753
  0.13500E+03  0.72251E-01  0.96459E-03 0.95958E-03  0.00366 0.00000 0.49817 0.49817
  0.14500E+03  0.72286E-01  0.57447E-03 0.49741E-03  0.00296 0.00000 0.49854 0.49849
  0.15500E+03  0.72310E-01  0.52526E-03 0.46820E-03  0.00248 0.00000 0.49879 0.49873
  0.16500E+03  0.72320E-01  0.34526E-03 0.36652E-03  0.00227 0.00000 0.49885 0.49887
  0.17500E+03  0.72365E-01  0.22938E-03 0.20621E-03  0.00140 0.00000 0.49931 0.49929
  0.18500E+03  0.72367E-01  0.43443E-04 0.41176E-04  0.00135 0.00000 0.49933 0.49932
  0.19500E+03  0.72388E-01  0.27586E-04 0.27586E-04  0.00092 0.00000 0.49954 0.49954
  0.20500E+03  0.72403E-01  0.23723E-05 0.23723E-05  0.00063 0.00000 0.49968 0.49968
  0.21500E+03  0.72422E-01  0.25203E-04 0.25203E-04  0.00025 0.00000 0.49987 0.49987
  0.22500E+03  0.72427E-01  0.24129E-05 0.24129E-05  0.00015 0.00000 0.49993 0.49993
  0.23500E+03  0.72429E-01  0.00000E+00 0.00000E+00  0.00011 0.00000 0.49994 0.49994
