  0.112474E+01 F
   0.2961E+00   0.2938E+00
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  depth        at.density   interstit.  vacancies    atomic fractions of components
  Angs         Angs^-3      dpa         dpa
  0.50000E+01  0.62221E-01  0.19547E+01 0.21046E+01  0.00333 0.07605 0.40391 0.51671
  0.15000E+02  0.64338E-01  0.23098E+01 0.24184E+01  0.00419 0.05888 0.43292 0.50401
  0.25000E+02  0.69818E-01  0.37252E+00 0.28985E+00  0.00623 0.01771 0.49043 0.48563
  0.35000E+02  0.71822E-01  0.59974E-01 0.54522E-01  0.00945 0.00105 0.49493 0.49458
  0.45000E+02  0.71870E-01  0.35839E-01 0.35207E-01  0.01132 0.00003 0.49458 0.49407
  0.55000E+02  0.71851E-01  0.27303E-01 0.26931E-01  0.01169 0.00000 0.49422 0.49409
  0.65000E+02  0.71820E-01  0.22975E-01 0.22748E-01  0.01237 0.00000 0.49402 0.49361
  0.75000E+02  0.71854E-01  0.16991E-01 0.16565E-01  0.01167 0.00000 0.49431 0.49402
  0.85000E+02  0.71866E-01  0.12880E-01 0.12935E-01  0.01136 0.00000 0.49429 0.49435
  0.95000E+02  0.71864E-01  0.89541E-02 0.91179E-02  0.01138 0.00000 0.49424 0.49438
  0.10500E+03  0.71952E-01  0.67938E-02 0.66357E-02  0.00966 0.00000 0.49521 0.49513
  0.11500E+03  0.72012E-01  0.43831E-02 0.42981E-02  0.00847 0.00000 0.49584 0.49568
  0.12500E+03  0.72029E-01  0.33365E-02 0.32022E-02  0.00810 0.00000 0.49596 0.49595
  0.13500E+03  0.72109E-01  0.16981E-02 0.17152E-02  0.00650 0.00000 0.49676 0.49674
  0.14500E+03  0.72169E-01  0.98248E-03 0.88278E-03  0.00531 0.00000 0.49739 0.49731
  0.15500E+03  0.72220E-01  0.73301E-03 0.62304E-03  0.00429 0.00000 0.49788 0.49783
  0.16500E+03  0.72236E-01  0.51490E-03 0.58003E-03  0.00396 0.00000 0.49801 0.49803
  0.17500E+03  0.72301E-01  0.37130E-03 0.32955E-03  0.00267 0.00000 0.49868 0.49865
  0.18500E+03  0.72315E-01  0.61015E-04 0.55437E-04  0.00239 0.00000 0.49881 0.49881
  0.19500E+03  0.72348E-01  0.27563E-04 0.27563E-04  0.00173 0.00000 0.49914 0.49914
  0.20500E+03  0.72381E-01  0.29792E-05 0.29792E-05  0.00106 0.00000 0.49947 0.49947
  0.21500E+03  0.72402E-01  0.24565E-04 0.24565E-04  0.00065 0.00000 0.49968 0.49968
  0.22500E+03  0.72419E-01  0.30579E-05 0.30579E-05  0.00031 0.00000 0.49984 0.49984
  0.23500E+03  0.72422E-01  0.00000E+00 0.00000E+00  0.00025 0.00000 0.49987 0.49987
