 cpt#    psproj# nr.coll deposition site x,y,z
                         (Angs)
   2         222   17    0.166260E+02 -0.228340E+02  0.135519E+02
   2         223   17    0.905088E+01 -0.197475E+02  0.106968E+02
   1         226  206    0.303474E+02 -0.275936E+02  0.712520E+02
   2         231   14    0.130679E+02 -0.607742E+01 -0.276701E+01
   2         234   11    0.105927E+02 -0.143616E+02 -0.200349E+01
   2         235    9    0.749911E+01 -0.850983E+01 -0.504214E+01
   1         238  214    0.113413E+02 -0.108968E+02 -0.140873E+03
   1         245  222    0.352062E+02 -0.157417E+03 -0.371695E+02
   2         252   14    0.139405E+02 -0.797467E+01 -0.726877E+01
   1         253  224    0.127712E+03 -0.453890E+01 -0.154039E+02
   2         254   16    0.587902E+01 -0.128062E+02  0.499563E+01
   2         261   15    0.124200E+02 -0.140196E+02 -0.760314E+01
   2         271   13    0.137467E+02 -0.183807E+02  0.884567E+01
   2         272    9    0.343540E+01 -0.173979E+02  0.999258E-02
   2         274    9    0.987920E+01 -0.126446E+02  0.649534E+01
   1         276  216    0.164140E+03 -0.261894E+02 -0.806510E+02
   1         278  226    0.661648E+02 -0.132838E+03  0.222027E+01
   1         280  215    0.869206E+02 -0.273700E+02 -0.647154E+02
   2         282   13    0.715185E+01 -0.108959E+02 -0.663066E+01
   2         287   13    0.889953E+01 -0.211521E+02 -0.101739E+02
   1         290  205    0.236997E+02 -0.596337E+02  0.839837E+02
   1         291  235    0.179355E+03  0.132354E+03 -0.441000E+02
   1         294  211    0.107256E+02 -0.150965E+03  0.423855E+02
   2         295   13    0.748633E+01 -0.216231E+02  0.637142E+01
   1         302  225    0.242164E+02 -0.926177E+02  0.112344E+03
   2         304    6    0.365046E+01  0.733618E+00  0.502137E+01
   2         306    9    0.122062E+02 -0.210566E+01 -0.669993E+01
   2         307    7    0.308892E+01 -0.121945E+02 -0.631994E+01
   2         310   19    0.226832E+02  0.859238E+01  0.934824E+01
   2         311   20    0.506854E+01 -0.378615E+02  0.187857E+01
   1         312  228    0.792198E+02 -0.919096E+02 -0.519454E+02
   2         313    7    0.679258E+01 -0.599117E+01 -0.243593E+01
   2         315   12    0.131867E+02 -0.955868E+01  0.893415E+01
   2         317   11    0.129104E+02 -0.327408E+01 -0.533291E+00
   1         321  220    0.577492E+02  0.315887E+02 -0.267578E+02
   1         322  209    0.834814E+02 -0.177231E+03 -0.505053E+02
   1         326  222    0.865287E+02 -0.232610E+02  0.791472E+02
   1         328  216    0.384652E+02 -0.405987E+01 -0.766564E+02
   2         330   10    0.342885E+01 -0.138128E+02  0.127556E+02
   2         333   12    0.131849E+02 -0.125400E+02  0.860129E+00
   1         334  226    0.528518E+02  0.169246E+02 -0.585557E+02
   1         337  203    0.393377E+02 -0.108596E+03  0.116174E+02
   2         338   14    0.494614E+01 -0.245573E+01 -0.921110E+00
   2         339   12    0.160154E+02 -0.164353E+02  0.326748E+01
   2         341   13    0.437504E+01 -0.189753E+02 -0.216139E+00
   2         344   13    0.780673E+01 -0.792537E+01  0.165147E+02
   1         349  217    0.967873E+02 -0.831732E+01  0.101491E+03
   2         350   19    0.608973E+01 -0.306461E+02 -0.550913E+01
   1         357  221    0.133330E+03 -0.339936E+02  0.586618E+02
   2         359   14    0.192210E+02 -0.118844E+02 -0.250574E+01
   2         361    9    0.199083E+01 -0.146161E+02 -0.118914E+01
   2         362   19    0.164362E+02 -0.358652E+01  0.807510E+01
   2         363   16    0.115349E+02 -0.187633E+02 -0.467433E+01
   2         366    7    0.430278E+01 -0.163333E+01 -0.307273E+01
   1         370  223    0.682944E+02 -0.116750E+03 -0.603421E+02
   1         372  221    0.303926E+02 -0.358263E+02  0.100807E+03
   1         384  207    0.642545E+02  0.962603E+01  0.582986E+02
   1         387  215    0.145481E+03 -0.141186E+03 -0.432892E+02
   2         389   10    0.116030E+02 -0.156661E+02 -0.264418E+01
   1         391  219    0.149197E+03 -0.528716E+02 -0.577104E+02
   1         392  215    0.989514E+01 -0.728198E+02  0.420896E+02
   2         394    7    0.720185E+01 -0.118583E+02 -0.425691E+00
   1         398  205    0.633587E+02 -0.120709E+03 -0.878209E+01
   1         399  210    0.201867E+02 -0.122905E+03 -0.281930E+02
   2         400    7    0.534089E+01 -0.900946E+01  0.670986E+01
   1         403  225    0.285300E+02 -0.223185E+02  0.126378E+03
   2         406   10    0.726687E+01 -0.146456E+02 -0.780121E+01
   1         409  233    0.110937E+03 -0.581245E+02  0.605369E+01
   2         411   15    0.588671E+01 -0.291553E+02 -0.954547E+01
   1         412  218    0.766761E+02 -0.473972E+02  0.543185E+02
   1         415  223    0.255222E+02 -0.114204E+03  0.101531E+03
   2         417   14    0.430165E+01 -0.166747E+02  0.132614E+01
   1         420  208    0.138210E+03 -0.955895E+02  0.252622E+02
   2         422    7    0.288591E+01 -0.162535E+02  0.107883E+01
   1         425  221    0.121685E+03 -0.112950E+03  0.211810E+02
   1         426  222    0.712754E+02 -0.132519E+03 -0.322988E+02
   1         430  218    0.120877E+03 -0.207418E+03 -0.937358E+02
   2         433   13    0.136187E+02 -0.172244E+02 -0.231589E+01
   2         437    9    0.672941E+01 -0.191072E+02 -0.604087E+01
   1         439  199    0.100821E+03 -0.250630E+02  0.262685E+02
   1         443  211    0.760965E+02  0.376606E+01 -0.198429E+01
   1         444  212    0.645015E+02  0.216788E+01  0.540761E+02
   1         445  217    0.181183E+03 -0.414631E+02  0.184175E+02
   2         447   15    0.520600E+01 -0.133768E+02  0.964698E+01
   1         448  232    0.263008E+02 -0.367489E+02 -0.103783E+03
   2         453   14    0.968285E+01 -0.100355E+02  0.681299E+00
   2         455    5    0.484514E+01 -0.456465E+01 -0.119663E+01
   1         456  208    0.105369E+03  0.241168E+02 -0.108956E+03
   1         459  217    0.153015E+03 -0.204450E+02 -0.316116E+01
   2         464   14    0.123159E+02 -0.759550E+01 -0.669554E+01
   2         465   13    0.788711E+01 -0.171285E+02  0.785551E+01
   1         466  228    0.194510E+03  0.203868E+02  0.594326E+02
   1         470  225    0.725040E+02 -0.871221E+02  0.888354E+01
   2         479    6    0.387059E+01 -0.689012E+01 -0.392782E+01
   2         481    8    0.917050E+01 -0.740697E+01  0.615911E+01
   1         482  237    0.979149E+02  0.589725E+01 -0.139705E+03
   1         485  208    0.459903E+02 -0.522937E+02 -0.518720E+02
   2         486    5    0.280632E+01 -0.906349E+01  0.736391E+00
   2         487   15    0.132300E+02 -0.198288E+02 -0.934948E+01
   2         489    8    0.812513E+01 -0.619353E+01 -0.292746E+01
   2         490    8    0.777485E+01 -0.278847E+01  0.219422E+01
   2         492   16    0.897372E+01 -0.190523E+02  0.845382E+01
   1         493  220    0.374921E+02 -0.285002E+02 -0.124251E+03
   2         494   21    0.220159E+02 -0.327612E+02 -0.102811E+02
   2         498   16    0.128966E+02 -0.542416E+01  0.830161E+01
   2         501    2    0.650512E+00 -0.531446E+01  0.111233E+01
   2         503    6    0.589384E+01 -0.115031E+02  0.167326E+01
   2         504    8    0.109138E+02 -0.120185E+02  0.136628E+01
   2         510    6    0.620496E+01 -0.691061E-01 -0.127014E+01
   2         511   12    0.142976E+02 -0.151811E+02  0.215417E+01
   1         513  216    0.509685E+02 -0.127963E+03 -0.129028E+03
   1         516  227    0.458444E+02 -0.848163E+02 -0.833453E+02
   2         520   10    0.188067E+01 -0.128690E+02  0.224877E+01
   2         523    6    0.143117E+01 -0.761258E+01 -0.389316E+01
   2         524    8    0.859820E+01 -0.739183E+01  0.524637E+01
   2         528   17    0.155277E+02 -0.158570E+02 -0.999143E+00
   2         531   15    0.541602E+01 -0.419937E+01  0.658297E+01
   1         534  223    0.914546E+02 -0.283901E+02 -0.746836E+01
   2         537   15    0.182809E+02 -0.178612E+02 -0.185287E+01
   1         539  215    0.105728E+03 -0.137232E+03 -0.900206E+02
   2         540    6    0.261667E+01 -0.137730E+02 -0.158807E+01
   1         545  225    0.447034E+02 -0.612092E+02 -0.533247E+02
   2         546   17    0.116954E+02  0.610637E+01  0.984560E+01
   2         547   18    0.692904E+01 -0.281492E+02 -0.836493E+01
   2         548   14    0.114651E+02 -0.154455E+02  0.135259E+01
   2         551   12    0.613190E+01 -0.596310E+01 -0.307053E+01
   1         556  214    0.578857E+02  0.507027E+02 -0.274456E+02
   2         558   14    0.152682E+02 -0.190857E+02 -0.104401E+02
   1         561  218    0.533831E+02 -0.133924E+03  0.144384E+03
   2         562   15    0.605870E+01  0.114492E+01 -0.455534E+01
   2         564   11    0.148055E+02 -0.119437E+02  0.379380E+01
   1         569  222    0.101089E+03  0.377826E+02  0.141323E+02
   2         570   10    0.910906E+01 -0.701637E+01 -0.820505E+00
   2         572   12    0.625069E+01 -0.127590E+02 -0.792893E+01
   2         574   14    0.155285E+01 -0.258164E+02 -0.984520E+01
   2         575   14    0.275776E+01 -0.172019E+02  0.359879E+01
   1         576  219    0.350807E+02 -0.804626E+02  0.393407E+02
   1         577  214    0.236658E+02  0.101894E+02 -0.115945E+03
   1         582  222    0.114655E+03  0.218690E+02 -0.446704E+02
   1         584  215    0.121960E+03 -0.173490E+03 -0.126203E+03
   2         585    4    0.394112E+01 -0.571802E+01 -0.219597E+01
   1         586  222    0.647609E+02 -0.212255E+03 -0.967615E+02
   2         591   17    0.183986E+02 -0.189730E+02  0.508885E+01
   1         593  204    0.231118E+02 -0.562740E+02 -0.104661E+03
   2         595   17    0.746825E+01 -0.101132E+02 -0.915165E+01
   1         596  217    0.895662E+02 -0.125926E+02  0.637135E+02
   2         598    9    0.963283E+01 -0.828714E+01  0.122286E+02
   2         599   10    0.378484E+00 -0.773197E+01  0.922878E+01
   1         601  222    0.113997E+03  0.110232E+02  0.333062E+02
   2         605   16    0.132346E+02 -0.292235E+01 -0.131023E+02
   2         610   11    0.130561E+02 -0.181624E+02  0.912998E+01
   2         614   11    0.630654E+01 -0.123684E+02 -0.508593E+01
   2         615   15    0.141097E+02 -0.177939E+02  0.519726E+01
   2         621    6    0.789905E+01 -0.373594E+01  0.436749E+01
   2         624   14    0.472518E+00 -0.795240E+01 -0.112322E+02
   1         625  224    0.196931E+03 -0.967759E+02  0.695588E+02
   1         626  223    0.218721E+02 -0.101614E+03  0.786769E+02
   1         627  223    0.683159E+02 -0.307977E+02 -0.977845E+02
   1         628  222    0.523452E+02 -0.130022E+03  0.132589E+03
   1         629  223    0.757281E+02 -0.256369E+01 -0.451694E+01
   2         630   12    0.723113E+01  0.185095E+01  0.554454E+01
   1         631  215    0.374326E+02  0.936603E+02  0.114983E+03
   2         635   14    0.127142E+02 -0.235129E+02  0.919797E+01
   2         636   17    0.119654E+01 -0.228258E+02  0.990351E+01
   2         641   18    0.607278E+01 -0.339010E+02  0.393905E+01
   2         645   20    0.124094E+02 -0.212055E+02 -0.214938E+02
   1         649  226    0.130187E+03 -0.101900E+03  0.456060E+02
   2         650   13    0.828017E+01 -0.104059E+02  0.124297E+02
   2         652   19    0.210778E+02 -0.284930E+02 -0.801230E+01
