  0.798425E+00 F
   0.1408E+00   0.1392E+00
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  depth        at.density   interstit.  vacancies    atomic fractions of components
  Angs         Angs^-3      dpa         dpa
  0.50000E+01  0.66607E-01  0.21352E+01 0.24765E+01  0.00159 0.03815 0.43409 0.52616
  0.15000E+02  0.67722E-01  0.10939E+01 0.94907E+00  0.00245 0.03508 0.47836 0.48411
  0.25000E+02  0.71564E-01  0.14418E+00 0.11102E+00  0.00285 0.00564 0.49778 0.49373
  0.35000E+02  0.72195E-01  0.25636E-01 0.23427E-01  0.00414 0.00024 0.49788 0.49774
  0.45000E+02  0.72172E-01  0.16722E-01 0.16289E-01  0.00533 0.00000 0.49759 0.49708
  0.55000E+02  0.72139E-01  0.12678E-01 0.12705E-01  0.00585 0.00000 0.49695 0.49720
  0.65000E+02  0.72123E-01  0.11140E-01 0.11140E-01  0.00623 0.00000 0.49693 0.49684
  0.75000E+02  0.72169E-01  0.78785E-02 0.77150E-02  0.00533 0.00000 0.49746 0.49721
  0.85000E+02  0.72185E-01  0.61292E-02 0.60994E-02  0.00498 0.00000 0.49751 0.49751
  0.95000E+02  0.72158E-01  0.40625E-02 0.41153E-02  0.00551 0.00000 0.49722 0.49727
  0.10500E+03  0.72183E-01  0.27653E-02 0.28467E-02  0.00499 0.00000 0.49746 0.49754
  0.11500E+03  0.72230E-01  0.18015E-02 0.16999E-02  0.00408 0.00000 0.49800 0.49792
  0.12500E+03  0.72246E-01  0.14469E-02 0.13369E-02  0.00376 0.00000 0.49815 0.49809
  0.13500E+03  0.72282E-01  0.67846E-03 0.72415E-03  0.00302 0.00000 0.49847 0.49852
  0.14500E+03  0.72313E-01  0.47843E-03 0.40431E-03  0.00243 0.00000 0.49881 0.49876
  0.15500E+03  0.72329E-01  0.41690E-03 0.35998E-03  0.00211 0.00000 0.49897 0.49892
  0.16500E+03  0.72336E-01  0.28515E-03 0.30696E-03  0.00197 0.00000 0.49901 0.49903
  0.17500E+03  0.72376E-01  0.14792E-03 0.12436E-03  0.00117 0.00000 0.49943 0.49941
  0.18500E+03  0.72373E-01  0.35823E-04 0.33762E-04  0.00123 0.00000 0.49939 0.49938
  0.19500E+03  0.72393E-01  0.27588E-04 0.27588E-04  0.00083 0.00000 0.49958 0.49958
  0.20500E+03  0.72408E-01  0.21572E-05 0.21572E-05  0.00052 0.00000 0.49974 0.49974
  0.21500E+03  0.72424E-01  0.25424E-04 0.25424E-04  0.00022 0.00000 0.49989 0.49989
  0.22500E+03  0.72429E-01  0.21911E-05 0.21911E-05  0.00012 0.00000 0.49994 0.49994
  0.23500E+03  0.72429E-01  0.00000E+00 0.00000E+00  0.00011 0.00000 0.49994 0.49994
