  0.103658E+01 F
   0.2512E+00   0.2487E+00
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  depth        at.density   interstit.  vacancies    atomic fractions of components
  Angs         Angs^-3      dpa         dpa
  0.50000E+01  0.63746E-01  0.26289E+01 0.29526E+01  0.00280 0.06143 0.40992 0.52585
  0.15000E+02  0.64800E-01  0.20553E+01 0.20314E+01  0.00361 0.05677 0.44651 0.49312
  0.25000E+02  0.70411E-01  0.29565E+00 0.22998E+00  0.00528 0.01352 0.49323 0.48797
  0.35000E+02  0.71926E-01  0.50108E-01 0.45726E-01  0.00807 0.00078 0.49572 0.49543
  0.45000E+02  0.71978E-01  0.29642E-01 0.29224E-01  0.00913 0.00003 0.49561 0.49523
  0.55000E+02  0.71936E-01  0.22746E-01 0.22634E-01  0.00997 0.00000 0.49503 0.49500
  0.65000E+02  0.71914E-01  0.19818E-01 0.19646E-01  0.01045 0.00000 0.49490 0.49465
  0.75000E+02  0.71944E-01  0.14102E-01 0.13613E-01  0.00987 0.00000 0.49523 0.49490
  0.85000E+02  0.71941E-01  0.10935E-01 0.10853E-01  0.00987 0.00000 0.49508 0.49505
  0.95000E+02  0.71955E-01  0.70615E-02 0.73050E-02  0.00955 0.00000 0.49514 0.49531
  0.10500E+03  0.72022E-01  0.54881E-02 0.54407E-02  0.00825 0.00000 0.49589 0.49586
  0.11500E+03  0.72066E-01  0.36878E-02 0.35012E-02  0.00740 0.00000 0.49640 0.49619
  0.12500E+03  0.72080E-01  0.27608E-02 0.26729E-02  0.00706 0.00000 0.49645 0.49649
  0.13500E+03  0.72163E-01  0.14582E-02 0.14787E-02  0.00541 0.00000 0.49729 0.49730
  0.14500E+03  0.72220E-01  0.83898E-03 0.76447E-03  0.00429 0.00000 0.49790 0.49782
  0.15500E+03  0.72258E-01  0.62060E-03 0.53806E-03  0.00353 0.00000 0.49827 0.49821
  0.16500E+03  0.72265E-01  0.40411E-03 0.42220E-03  0.00337 0.00000 0.49831 0.49833
  0.17500E+03  0.72328E-01  0.31060E-03 0.28807E-03  0.00213 0.00000 0.49894 0.49892
  0.18500E+03  0.72340E-01  0.53669E-04 0.51058E-04  0.00189 0.00000 0.49906 0.49906
  0.19500E+03  0.72364E-01  0.27572E-04 0.27572E-04  0.00140 0.00000 0.49930 0.49930
  0.20500E+03  0.72385E-01  0.27634E-05 0.27634E-05  0.00098 0.00000 0.49951 0.49951
  0.21500E+03  0.72407E-01  0.24788E-04 0.24788E-04  0.00054 0.00000 0.49973 0.49973
  0.22500E+03  0.72423E-01  0.28331E-05 0.28331E-05  0.00022 0.00000 0.49989 0.49989
  0.23500E+03  0.72426E-01  0.00000E+00 0.00000E+00  0.00017 0.00000 0.49992 0.49992
