  0.104006E+01 F
   0.2365E+00   0.2335E+00
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  depth        at.density   interstit.  vacancies    atomic fractions of components
  Angs         Angs^-3      dpa         dpa
  0.50000E+01  0.64011E-01  0.23809E+01 0.26705E+01  0.00257 0.05986 0.41609 0.52148
  0.15000E+02  0.65101E-01  0.20146E+01 0.20109E+01  0.00328 0.05409 0.44741 0.49523
  0.25000E+02  0.70636E-01  0.27196E+00 0.21105E+00  0.00500 0.01188 0.49402 0.48910
  0.35000E+02  0.71968E-01  0.46150E-01 0.42252E-01  0.00771 0.00061 0.49600 0.49567
  0.45000E+02  0.71993E-01  0.27472E-01 0.27075E-01  0.00882 0.00003 0.49575 0.49541
  0.55000E+02  0.71959E-01  0.21326E-01 0.21191E-01  0.00950 0.00000 0.49525 0.49525
  0.65000E+02  0.71944E-01  0.18904E-01 0.18815E-01  0.00985 0.00000 0.49520 0.49495
  0.75000E+02  0.71980E-01  0.13562E-01 0.13125E-01  0.00914 0.00000 0.49558 0.49528
  0.85000E+02  0.71976E-01  0.10150E-01 0.10122E-01  0.00916 0.00000 0.49543 0.49540
  0.95000E+02  0.71990E-01  0.68362E-02 0.70246E-02  0.00884 0.00000 0.49551 0.49564
  0.10500E+03  0.72044E-01  0.53049E-02 0.52308E-02  0.00781 0.00000 0.49612 0.49607
  0.11500E+03  0.72081E-01  0.34264E-02 0.32654E-02  0.00708 0.00000 0.49654 0.49638
  0.12500E+03  0.72096E-01  0.25943E-02 0.24816E-02  0.00674 0.00000 0.49662 0.49664
  0.13500E+03  0.72189E-01  0.13239E-02 0.13679E-02  0.00488 0.00000 0.49754 0.49757
  0.14500E+03  0.72230E-01  0.72837E-03 0.63067E-03  0.00410 0.00000 0.49799 0.49792
  0.15500E+03  0.72271E-01  0.58687E-03 0.52735E-03  0.00326 0.00000 0.49840 0.49834
  0.16500E+03  0.72276E-01  0.40211E-03 0.42245E-03  0.00314 0.00000 0.49842 0.49844
  0.17500E+03  0.72333E-01  0.31072E-03 0.28824E-03  0.00202 0.00000 0.49900 0.49898
  0.18500E+03  0.72343E-01  0.53899E-04 0.51265E-04  0.00183 0.00000 0.49909 0.49909
  0.19500E+03  0.72369E-01  0.27575E-04 0.27575E-04  0.00130 0.00000 0.49935 0.49935
  0.20500E+03  0.72388E-01  0.27785E-05 0.27785E-05  0.00092 0.00000 0.49954 0.49954
  0.21500E+03  0.72410E-01  0.24777E-04 0.24777E-04  0.00049 0.00000 0.49976 0.49976
  0.22500E+03  0.72424E-01  0.28430E-05 0.28430E-05  0.00022 0.00000 0.49989 0.49989
  0.23500E+03  0.72426E-01  0.00000E+00 0.00000E+00  0.00017 0.00000 0.49992 0.49992
