  0.293031E+00 F
   0.3976E-01   0.4024E-01
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  depth        at.density   interstit.  vacancies    atomic fractions of components
  Angs         Angs^-3      dpa         dpa
  0.50000E+01  0.70121E-01  0.73691E+00 0.86644E+00  0.00027 0.01479 0.47692 0.50802
  0.15000E+02  0.71245E-01  0.28848E+00 0.24162E+00  0.00081 0.00862 0.49646 0.49411
  0.25000E+02  0.72250E-01  0.31550E-01 0.24067E-01  0.00090 0.00109 0.49954 0.49847
  0.35000E+02  0.72371E-01  0.66967E-02 0.60078E-02  0.00119 0.00006 0.49955 0.49921
  0.45000E+02  0.72372E-01  0.41388E-02 0.39727E-02  0.00132 0.00000 0.49950 0.49917
  0.55000E+02  0.72357E-01  0.31465E-02 0.31459E-02  0.00152 0.00000 0.49916 0.49932
  0.65000E+02  0.72356E-01  0.26222E-02 0.26222E-02  0.00157 0.00000 0.49924 0.49919
  0.75000E+02  0.72364E-01  0.21821E-02 0.21548E-02  0.00141 0.00000 0.49928 0.49931
  0.85000E+02  0.72375E-01  0.14426E-02 0.14695E-02  0.00119 0.00000 0.49939 0.49942
  0.95000E+02  0.72361E-01  0.11072E-02 0.11348E-02  0.00146 0.00000 0.49927 0.49927
  0.10500E+03  0.72373E-01  0.77740E-03 0.77784E-03  0.00122 0.00000 0.49939 0.49939
  0.11500E+03  0.72364E-01  0.44706E-03 0.41998E-03  0.00140 0.00000 0.49931 0.49929
  0.12500E+03  0.72367E-01  0.44118E-03 0.41361E-03  0.00135 0.00000 0.49932 0.49932
  0.13500E+03  0.72386E-01  0.22565E-03 0.22503E-03  0.00097 0.00000 0.49951 0.49951
  0.14500E+03  0.72405E-01  0.16690E-03 0.16690E-03  0.00059 0.00000 0.49971 0.49971
  0.15500E+03  0.72410E-01  0.16558E-03 0.13868E-03  0.00050 0.00000 0.49976 0.49974
  0.16500E+03  0.72408E-01  0.31195E-04 0.57353E-04  0.00052 0.00000 0.49973 0.49975
  0.17500E+03  0.72415E-01  0.81312E-04 0.55199E-04  0.00039 0.00000 0.49982 0.49979
  0.18500E+03  0.72419E-01  0.22868E-05 0.15245E-05  0.00031 0.00000 0.49985 0.49985
  0.19500E+03  0.72418E-01  0.00000E+00 0.00000E+00  0.00033 0.00000 0.49983 0.49983
  0.20500E+03  0.72426E-01  0.00000E+00 0.00000E+00  0.00017 0.00000 0.49991 0.49991
  0.21500E+03  0.72434E-01  0.26811E-04 0.26811E-04  0.00000 0.00000 0.50000 0.50000
  0.22500E+03  0.72432E-01  0.80014E-06 0.80014E-06  0.00005 0.00000 0.49997 0.49997
  0.23500E+03  0.72431E-01  0.00000E+00 0.00000E+00  0.00008 0.00000 0.49996 0.49996
