  0.107924E+01 F
   0.3206E+00   0.3194E+00
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  depth        at.density   interstit.  vacancies    atomic fractions of components
  Angs         Angs^-3      dpa         dpa
  0.50000E+01  0.61835E-01  0.25370E+01 0.27916E+01  0.00349 0.07842 0.39366 0.52443
  0.15000E+02  0.64038E-01  0.22869E+01 0.23444E+01  0.00451 0.06194 0.43394 0.49961
  0.25000E+02  0.69453E-01  0.41585E+00 0.32505E+00  0.00662 0.02039 0.48871 0.48428
  0.35000E+02  0.71762E-01  0.65156E-01 0.59276E-01  0.01015 0.00121 0.49435 0.49429
  0.45000E+02  0.71823E-01  0.38759E-01 0.38171E-01  0.01228 0.00002 0.49410 0.49359
  0.55000E+02  0.71802E-01  0.29633E-01 0.29171E-01  0.01271 0.00000 0.49374 0.49354
  0.65000E+02  0.71765E-01  0.24054E-01 0.23887E-01  0.01348 0.00000 0.49343 0.49309
  0.75000E+02  0.71807E-01  0.18368E-01 0.17741E-01  0.01266 0.00000 0.49389 0.49345
  0.85000E+02  0.71819E-01  0.14084E-01 0.14169E-01  0.01230 0.00000 0.49381 0.49389
  0.95000E+02  0.71825E-01  0.96840E-02 0.99295E-02  0.01217 0.00000 0.49382 0.49401
  0.10500E+03  0.71906E-01  0.73331E-02 0.71984E-02  0.01058 0.00000 0.49472 0.49470
  0.11500E+03  0.71973E-01  0.50048E-02 0.47345E-02  0.00927 0.00000 0.49550 0.49523
  0.12500E+03  0.72000E-01  0.35866E-02 0.35496E-02  0.00867 0.00000 0.49567 0.49566
  0.13500E+03  0.72079E-01  0.19023E-02 0.19527E-02  0.00711 0.00000 0.49646 0.49643
  0.14500E+03  0.72141E-01  0.12218E-02 0.10459E-02  0.00587 0.00000 0.49712 0.49701
  0.15500E+03  0.72202E-01  0.80076E-03 0.70998E-03  0.00463 0.00000 0.49770 0.49767
  0.16500E+03  0.72219E-01  0.51789E-03 0.58656E-03  0.00428 0.00000 0.49785 0.49787
  0.17500E+03  0.72288E-01  0.39541E-03 0.37788E-03  0.00292 0.00000 0.49855 0.49853
  0.18500E+03  0.72301E-01  0.11159E-03 0.59156E-04  0.00266 0.00000 0.49869 0.49866
  0.19500E+03  0.72342E-01  0.57881E-04 0.77167E-04  0.00183 0.00000 0.49908 0.49910
  0.20500E+03  0.72377E-01  0.56842E-05 0.85263E-05  0.00114 0.00000 0.49943 0.49943
  0.21500E+03  0.72395E-01  0.24695E-04 0.24695E-04  0.00078 0.00000 0.49961 0.49961
  0.22500E+03  0.72417E-01  0.29305E-05 0.29305E-05  0.00035 0.00000 0.49982 0.49982
  0.23500E+03  0.72422E-01  0.00000E+00 0.00000E+00  0.00025 0.00000 0.49987 0.49987
