  0.990111E+00 F
   0.3895E+00   0.3905E+00
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  depth        at.density   interstit.  vacancies    atomic fractions of components
  Angs         Angs^-3      dpa         dpa
  0.50000E+01  0.60010E-01  0.26815E+01 0.29284E+01  0.00418 0.09451 0.37024 0.53107
  0.15000E+02  0.63835E-01  0.21493E+01 0.21993E+01  0.00568 0.06344 0.43292 0.49796
  0.25000E+02  0.68461E-01  0.55340E+00 0.43821E+00  0.00793 0.02763 0.48319 0.48125
  0.35000E+02  0.71579E-01  0.83364E-01 0.74311E-01  0.01222 0.00187 0.49335 0.49257
  0.45000E+02  0.71705E-01  0.47522E-01 0.46907E-01  0.01465 0.00002 0.49289 0.49243
  0.55000E+02  0.71695E-01  0.36288E-01 0.35558E-01  0.01495 0.00000 0.49281 0.49224
  0.65000E+02  0.71639E-01  0.29774E-01 0.29705E-01  0.01602 0.00000 0.49212 0.49186
  0.75000E+02  0.71669E-01  0.22709E-01 0.22102E-01  0.01544 0.00000 0.49250 0.49207
  0.85000E+02  0.71695E-01  0.17564E-01 0.17507E-01  0.01484 0.00000 0.49260 0.49256
  0.95000E+02  0.71707E-01  0.11998E-01 0.12362E-01  0.01452 0.00000 0.49261 0.49287
  0.10500E+03  0.71785E-01  0.90302E-02 0.87850E-02  0.01302 0.00000 0.49353 0.49345
  0.11500E+03  0.71871E-01  0.61130E-02 0.58674E-02  0.01133 0.00000 0.49449 0.49419
  0.12500E+03  0.71913E-01  0.42617E-02 0.42043E-02  0.01042 0.00000 0.49478 0.49480
  0.13500E+03  0.72014E-01  0.26529E-02 0.26247E-02  0.00842 0.00000 0.49584 0.49574
  0.14500E+03  0.72064E-01  0.16101E-02 0.14520E-02  0.00742 0.00000 0.49633 0.49625
  0.15500E+03  0.72145E-01  0.99624E-03 0.88321E-03  0.00578 0.00000 0.49714 0.49708
  0.16500E+03  0.72166E-01  0.62871E-03 0.69791E-03  0.00535 0.00000 0.49731 0.49733
  0.17500E+03  0.72257E-01  0.42762E-03 0.40863E-03  0.00354 0.00000 0.49824 0.49822
  0.18500E+03  0.72272E-01  0.11014E-03 0.57393E-04  0.00323 0.00000 0.49840 0.49837
  0.19500E+03  0.72327E-01  0.57553E-04 0.77761E-04  0.00214 0.00000 0.49892 0.49894
  0.20500E+03  0.72363E-01  0.30119E-04 0.32665E-04  0.00141 0.00000 0.49929 0.49929
  0.21500E+03  0.72378E-01  0.27580E-04 0.27580E-04  0.00113 0.00000 0.49944 0.49944
  0.22500E+03  0.72407E-01  0.26640E-05 0.26640E-05  0.00056 0.00000 0.49972 0.49972
  0.23500E+03  0.72415E-01  0.00000E+00 0.00000E+00  0.00040 0.00000 0.49980 0.49980
