  0.711132E+00 F
   0.4944E+00   0.4955E+00
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  depth        at.density   interstit.  vacancies    atomic fractions of components
  Angs         Angs^-3      dpa         dpa
  0.50000E+01  0.58628E-01  0.50873E+01 0.56815E+01  0.00536 0.10436 0.33465 0.55562
  0.15000E+02  0.63507E-01  0.15555E+01 0.14102E+01  0.00801 0.06770 0.44298 0.48131
  0.25000E+02  0.66858E-01  0.74052E+00 0.59697E+00  0.01071 0.03927 0.47195 0.47807
  0.35000E+02  0.71265E-01  0.11491E+00 0.10060E+00  0.01536 0.00309 0.49139 0.49016
  0.45000E+02  0.71533E-01  0.60165E-01 0.59462E-01  0.01805 0.00006 0.49120 0.49070
  0.55000E+02  0.71485E-01  0.45828E-01 0.44946E-01  0.01925 0.00000 0.49074 0.49000
  0.65000E+02  0.71436E-01  0.36655E-01 0.36602E-01  0.02013 0.00000 0.49004 0.48982
  0.75000E+02  0.71473E-01  0.29244E-01 0.28685E-01  0.01947 0.00000 0.49056 0.48997
  0.85000E+02  0.71499E-01  0.22898E-01 0.22752E-01  0.01880 0.00000 0.49059 0.49061
  0.95000E+02  0.71512E-01  0.15813E-01 0.16116E-01  0.01849 0.00000 0.49061 0.49090
  0.10500E+03  0.71574E-01  0.11462E-01 0.11260E-01  0.01729 0.00000 0.49138 0.49133
  0.11500E+03  0.71717E-01  0.82785E-02 0.79037E-02  0.01447 0.00000 0.49298 0.49256
  0.12500E+03  0.71790E-01  0.56416E-02 0.54259E-02  0.01291 0.00000 0.49355 0.49355
  0.13500E+03  0.71920E-01  0.37433E-02 0.36887E-02  0.01030 0.00000 0.49490 0.49479
  0.14500E+03  0.71956E-01  0.20570E-02 0.18661E-02  0.00957 0.00000 0.49527 0.49516
  0.15500E+03  0.72050E-01  0.14373E-02 0.12187E-02  0.00768 0.00000 0.49620 0.49612
  0.16500E+03  0.72110E-01  0.79000E-03 0.86228E-03  0.00646 0.00000 0.49676 0.49678
  0.17500E+03  0.72204E-01  0.45427E-03 0.43164E-03  0.00459 0.00000 0.49772 0.49769
  0.18500E+03  0.72242E-01  0.17929E-03 0.12571E-03  0.00383 0.00000 0.49810 0.49807
  0.19500E+03  0.72311E-01  0.87447E-04 0.11018E-03  0.00245 0.00000 0.49876 0.49879
  0.20500E+03  0.72348E-01  0.31000E-04 0.32718E-04  0.00172 0.00000 0.49914 0.49914
  0.21500E+03  0.72362E-01  0.27571E-04 0.27571E-04  0.00145 0.00000 0.49928 0.49928
  0.22500E+03  0.72390E-01  0.18658E-05 0.18658E-05  0.00089 0.00000 0.49955 0.49955
  0.23500E+03  0.72410E-01  0.00000E+00 0.00000E+00  0.00050 0.00000 0.49975 0.49975
