  0.646630E+00 F
   0.1054E+00   0.1046E+00
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  depth        at.density   interstit.  vacancies    atomic fractions of components
  Angs         Angs^-3      dpa         dpa
  0.50000E+01  0.67740E-01  0.17357E+01 0.20310E+01  0.00104 0.03045 0.44874 0.51976
  0.15000E+02  0.68882E-01  0.81188E+00 0.69757E+00  0.00213 0.02597 0.48443 0.48746
  0.25000E+02  0.71834E-01  0.10414E+00 0.81060E-01  0.00224 0.00379 0.49850 0.49547
  0.35000E+02  0.72250E-01  0.19510E-01 0.17686E-01  0.00306 0.00024 0.49850 0.49820
  0.45000E+02  0.72242E-01  0.12663E-01 0.12307E-01  0.00393 0.00000 0.49827 0.49780
  0.55000E+02  0.72218E-01  0.95963E-02 0.96787E-02  0.00423 0.00000 0.49770 0.49806
  0.65000E+02  0.72197E-01  0.78912E-02 0.78093E-02  0.00478 0.00000 0.49772 0.49750
  0.75000E+02  0.72239E-01  0.56633E-02 0.55808E-02  0.00392 0.00000 0.49810 0.49799
  0.85000E+02  0.72248E-01  0.43156E-02 0.42601E-02  0.00372 0.00000 0.49814 0.49814
  0.95000E+02  0.72234E-01  0.28149E-02 0.28672E-02  0.00398 0.00000 0.49800 0.49802
  0.10500E+03  0.72255E-01  0.19261E-02 0.20611E-02  0.00356 0.00000 0.49818 0.49826
  0.11500E+03  0.72286E-01  0.13429E-02 0.12950E-02  0.00297 0.00000 0.49853 0.49850
  0.12500E+03  0.72292E-01  0.12159E-02 0.10554E-02  0.00287 0.00000 0.49862 0.49851
  0.13500E+03  0.72320E-01  0.52975E-03 0.57444E-03  0.00226 0.00000 0.49885 0.49889
  0.14500E+03  0.72348E-01  0.39150E-03 0.36816E-03  0.00174 0.00000 0.49914 0.49912
  0.15500E+03  0.72360E-01  0.38595E-03 0.30623E-03  0.00150 0.00000 0.49928 0.49922
  0.16500E+03  0.72356E-01  0.17789E-03 0.19922E-03  0.00157 0.00000 0.49921 0.49923
  0.17500E+03  0.72383E-01  0.11359E-03 0.89273E-04  0.00103 0.00000 0.49950 0.49947
  0.18500E+03  0.72390E-01  0.67209E-05 0.50406E-05  0.00089 0.00000 0.49956 0.49955
  0.19500E+03  0.72403E-01  0.25872E-04 0.25872E-04  0.00062 0.00000 0.49969 0.49969
  0.20500E+03  0.72416E-01  0.17505E-05 0.17505E-05  0.00037 0.00000 0.49981 0.49981
  0.21500E+03  0.72428E-01  0.25840E-04 0.25840E-04  0.00013 0.00000 0.49994 0.49994
  0.22500E+03  0.72429E-01  0.17737E-05 0.17737E-05  0.00011 0.00000 0.49994 0.49994
  0.23500E+03  0.72430E-01  0.00000E+00 0.00000E+00  0.00008 0.00000 0.49996 0.49996
