 cpt#    psproj#  energy       directional cosines x,y,z
                  (eV)
   1          76  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1          77  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2          78  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1          79  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1          80  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1          81  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1          82  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1          83  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1          84  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1          85  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1          86  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2          87  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1          88  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1          89  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1          90  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1          91  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2          92  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1          93  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1          94  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1          95  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1          96  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2          97  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1          98  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1          99  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         100  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         101  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         102  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         103  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         104  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         105  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         106  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         107  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         108  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         109  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         110  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         111  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         112  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         113  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         114  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         115  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         116  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         117  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         118  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         119  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         120  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         121  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         122  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         123  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         124  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         125  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         126  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         127  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         128  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         129  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   2         130  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
   1         131  0.5000E+03   0.49999994E+00 -0.86602539E+00 -0.10000000E-11
