  0.107106E+01 F
   0.3357E+00   0.3342E+00
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  depth        at.density   interstit.  vacancies    atomic fractions of components
  Angs         Angs^-3      dpa         dpa
  0.50000E+01  0.61570E-01  0.28507E+01 0.31546E+01  0.00359 0.08024 0.38760 0.52857
  0.15000E+02  0.63902E-01  0.22745E+01 0.23061E+01  0.00477 0.06327 0.43426 0.49770
  0.25000E+02  0.69241E-01  0.44371E+00 0.34725E+00  0.00697 0.02193 0.48776 0.48333
  0.35000E+02  0.71730E-01  0.68996E-01 0.62515E-01  0.01055 0.00131 0.49417 0.49397
  0.45000E+02  0.71795E-01  0.40346E-01 0.39705E-01  0.01285 0.00002 0.49382 0.49330
  0.55000E+02  0.71782E-01  0.30919E-01 0.30420E-01  0.01312 0.00000 0.49359 0.49329
  0.65000E+02  0.71734E-01  0.25557E-01 0.25463E-01  0.01410 0.00000 0.49309 0.49281
  0.75000E+02  0.71771E-01  0.19088E-01 0.18491E-01  0.01338 0.00000 0.49352 0.49311
  0.85000E+02  0.71789E-01  0.14960E-01 0.14993E-01  0.01292 0.00000 0.49353 0.49356
  0.95000E+02  0.71795E-01  0.10193E-01 0.10492E-01  0.01276 0.00000 0.49353 0.49372
  0.10500E+03  0.71882E-01  0.77271E-02 0.74814E-02  0.01106 0.00000 0.49450 0.49444
  0.11500E+03  0.71949E-01  0.52384E-02 0.49655E-02  0.00975 0.00000 0.49527 0.49497
  0.12500E+03  0.71981E-01  0.36139E-02 0.36309E-02  0.00905 0.00000 0.49545 0.49549
  0.13500E+03  0.72068E-01  0.21047E-02 0.21061E-02  0.00733 0.00000 0.49637 0.49630
  0.14500E+03  0.72125E-01  0.12586E-02 0.10785E-02  0.00619 0.00000 0.49696 0.49685
  0.15500E+03  0.72186E-01  0.82677E-03 0.73634E-03  0.00495 0.00000 0.49754 0.49751
  0.16500E+03  0.72205E-01  0.54458E-03 0.61363E-03  0.00456 0.00000 0.49771 0.49773
  0.17500E+03  0.72277E-01  0.39756E-03 0.37982E-03  0.00314 0.00000 0.49844 0.49842
  0.18500E+03  0.72299E-01  0.11112E-03 0.58641E-04  0.00270 0.00000 0.49866 0.49864
  0.19500E+03  0.72340E-01  0.57837E-04 0.77244E-04  0.00188 0.00000 0.49905 0.49907
  0.20500E+03  0.72373E-01  0.30381E-04 0.33185E-04  0.00122 0.00000 0.49939 0.49939
  0.21500E+03  0.72391E-01  0.27587E-04 0.27587E-04  0.00086 0.00000 0.49957 0.49957
  0.22500E+03  0.72414E-01  0.28998E-05 0.28998E-05  0.00041 0.00000 0.49980 0.49980
  0.23500E+03  0.72420E-01  0.00000E+00 0.00000E+00  0.00028 0.00000 0.49986 0.49986
