  0.108581E+01 F
   0.3504E+00   0.3495E+00
   0.0000E+00   0.0000E+00   0.0000E+00   0.0000E+00
  depth        at.density   interstit.  vacancies    atomic fractions of components
  Angs         Angs^-3      dpa         dpa
  0.50000E+01  0.61129E-01  0.31669E+01 0.35144E+01  0.00367 0.08402 0.38151 0.53080
  0.15000E+02  0.63738E-01  0.22826E+01 0.22931E+01  0.00512 0.06481 0.43427 0.49579
  0.25000E+02  0.69024E-01  0.47418E+00 0.37158E+00  0.00732 0.02349 0.48657 0.48262
  0.35000E+02  0.71686E-01  0.73000E-01 0.65830E-01  0.01109 0.00145 0.49392 0.49353
  0.45000E+02  0.71770E-01  0.42431E-01 0.41634E-01  0.01340 0.00002 0.49364 0.49294
  0.55000E+02  0.71760E-01  0.32450E-01 0.32037E-01  0.01355 0.00000 0.49332 0.49313
  0.65000E+02  0.71706E-01  0.26843E-01 0.26819E-01  0.01466 0.00000 0.49281 0.49253
  0.75000E+02  0.71743E-01  0.19925E-01 0.19305E-01  0.01395 0.00000 0.49325 0.49281
  0.85000E+02  0.71752E-01  0.15841E-01 0.15848E-01  0.01366 0.00000 0.49315 0.49319
  0.95000E+02  0.71772E-01  0.10723E-01 0.10992E-01  0.01323 0.00000 0.49329 0.49348
  0.10500E+03  0.71860E-01  0.81054E-02 0.78325E-02  0.01152 0.00000 0.49428 0.49420
  0.11500E+03  0.71920E-01  0.54485E-02 0.51754E-02  0.01034 0.00000 0.49498 0.49468
  0.12500E+03  0.71959E-01  0.37485E-02 0.37660E-02  0.00949 0.00000 0.49523 0.49528
  0.13500E+03  0.72049E-01  0.22911E-02 0.22925E-02  0.00771 0.00000 0.49618 0.49611
  0.14500E+03  0.72110E-01  0.13468E-02 0.11924E-02  0.00649 0.00000 0.49679 0.49671
  0.15500E+03  0.72173E-01  0.85794E-03 0.74408E-03  0.00523 0.00000 0.49741 0.49736
  0.16500E+03  0.72195E-01  0.54682E-03 0.61354E-03  0.00476 0.00000 0.49761 0.49763
  0.17500E+03  0.72272E-01  0.39762E-03 0.37996E-03  0.00323 0.00000 0.49840 0.49837
  0.18500E+03  0.72292E-01  0.11137E-03 0.58923E-04  0.00283 0.00000 0.49860 0.49857
  0.19500E+03  0.72337E-01  0.57864E-04 0.77179E-04  0.00194 0.00000 0.49902 0.49904
  0.20500E+03  0.72368E-01  0.30411E-04 0.33248E-04  0.00133 0.00000 0.49933 0.49934
  0.21500E+03  0.72388E-01  0.27586E-04 0.27586E-04  0.00092 0.00000 0.49954 0.49954
  0.22500E+03  0.72414E-01  0.29404E-05 0.29404E-05  0.00041 0.00000 0.49979 0.49979
  0.23500E+03  0.72420E-01  0.00000E+00 0.00000E+00  0.00028 0.00000 0.49986 0.49986
